,tf_list
YGL076C,YNL068C; YFL021W; YEL009C; YKL032C; YIR017C; YGL209W; YMR037C; YGL013C; YDL020C; YLR403W; YKL020C; YML007W; YOR162C; YPR104C; YBL005W; YGL071W; YJR060W; YER040W; YER111C; YKR099W; YDR123C; YER169W; YJL127C; YIL131C; YMR016C; YIR033W; YPL254W; YHR084W; YML076C; YNL199C; YBR083W; YHR124W; YDR253C; YDR451C; YMR043W; YBR049C; YFR034C; YNL216W; YKL043W; YHR006W; YBR240C; YNL103W; YPL075W; YLR223C; YLR451W; YPR065W; YDR392W; YLR182W; YPL128C
YER063W,YIL036W; YEL009C; YKL032C; YIR017C; YKL062W; YGL013C; YDL020C; YLR403W; YML007W; YOR162C; YBL005W; YJR060W; YPL038W; YKR099W; YDR123C; YHL027W; YJL127C; YIL131C; YMR016C; YHR084W; YER028C; YBR083W; YLR256W; YHR124W; YDR253C; YNL167C; YER161C; YMR043W; YBR049C; YKL109W; YHR206W; YNL216W; YOL108C; YKL043W; YPL075W; YLR451W; YPR065W; YKL015W; YMR172W; YDR096W
YJL095W,YEL009C; YIR017C; YMR037C; YDL020C; YML007W; YPR104C; YBL005W; YJR060W; YPL038W; YIR023W; YDR123C; YHL027W; YCR084C; YHR084W; YBR083W; YJL110C; YER109C; YNL216W; YOL108C; YLR451W; YGL096W; YLR013W
YHR143W,YKL112W; YOR028C; YNL027W; YIL036W; YNL068C; YFL021W; YEL009C; YGL073W; YKL032C; YIR017C; YMR037C; YGL013C; YLR176C; YDL020C; YLR403W; YKL020C; YIL101C; YML007W; YDR259C; YOR162C; YOR140W; YBL005W; YJR060W; YPL038W; YER040W; YOR032C; YER111C; YKR099W; YDR123C; YMR164C; YHL027W; YER169W; YDR310C; YDR207C; YIL131C; YOR290C; YMR016C; YCR084C; YIR033W; YPL254W; YHR084W; YBR083W; YOR344C; YDR253C; YMR182C; YDR451C; YPL177C; YJL110C; YKL109W; YFR034C; YPL089C; YDL056W; YNL216W; YLR131C; YGL237C; YOR358W; YHR178W; YBR240C; YDR421W; YPL075W; YOR363C; YPL133C; YDR392W; YDR096W; YLR182W; YGL096W; YDR146C; YGL166W; YPL248C; YOL028C
YBR166C,YKL112W; YNL027W; YIL036W; YNL068C; YEL009C; YKL032C; YIR017C; YGL209W; YMR037C; YKL062W; YGL013C; YLR176C; YDL020C; YLR403W; YKL020C; YIL101C; YML007W; YBL005W; YGL071W; YJR060W; YPL038W; YKR099W; YPL049C; YER169W; YBL103C; YJL127C; YDL170W; YBR239C; YIL131C; YMR016C; YAL051W; YBR083W; YDR253C; YER088C; YDR277C; YDR043C; YOR380W; YNL167C; YER184C; YMR043W; YPL177C; YKR034W; YNL314W; YJL110C; YJR147W; YPR199C; YMR042W; YKL109W; YNL097C; YFR034C; YBR033W
YNL121C,YKL112W; YNL068C; YFL021W; YEL009C; YIR017C; YMR037C; YKL062W; YDL020C; YLR403W; YML007W; YBL005W; YJR060W; YPL038W; YKR099W; YDR123C; YIL131C; YHR124W; YDR253C; YOL108C; YMR070W; YHR178W; YIR013C; YLR013W
YHL029C,YKL112W; YOR028C; YNL027W; YIL036W; YNL068C; YEL009C; YIR017C; YMR037C; YKL062W; YGL013C; YDL020C; YIL101C; YML007W; YIR018W; YDR259C; YPR104C; YBL005W; YJR060W; YPL038W; YER040W; YKR099W; YDR123C; YOL116W; YIL131C; YOR290C; YMR016C; YCR084C; YHR084W; YAL051W; YHR124W; YDR253C; YNL167C; YMR043W; YPR199C; YHR206W; YNL216W; YLR131C; YOL108C; YGR249W; YKL043W; YFL031W; YPL133C; YOR372C; YBR297W; YDR146C
YDR079C-A,YOR028C; YEL009C; YGL013C; YDL020C; YML007W; YBL005W
YLR105C,YNL068C; YEL009C; YKL032C; YIR017C; YMR037C; YGL013C; YDL020C; YML007W; YIR018W; YDR259C; YOR162C; YBL005W; YJR060W; YPL038W; YHR084W; YBR083W; YDR253C; YMR043W; YKR034W; YDL056W; YGR044C; YOR358W; YGL254W; YPL128C; YOR372C; YDR146C; YMR021C
YNL136W,YIL036W; YEL009C; YGL073W; YIR017C; YGL209W; YMR037C; YDL020C; YLR403W; YML007W; YBL005W; YJR060W; YPL038W; YKR099W; YHL027W; YJL127C; YOR290C; YCR084C; YBR083W; YDR253C; YHR056C; YJL056C; YGR249W; YNL103W; YLR451W
