,tf_list
YML050W,YNL068C; YMR037C; YKL062W; YNL216W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YGL166W; YDR123C; YER111C; YLR403W; YPR104C; YCL055W; YMR043W; YHR124W; YPL038W; YDR253C; YER040W; YKL015W; YER169W; YGL071W; YOR290C; YBR083W; YJL110C; YIR018W; YOR372C; YML051W
YMR065W,YIL131C; YNL216W; YHL027W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YNL103W; YLR403W; YFL031W; YCL055W; YOL116W; YIL101C; YPL038W; YDR253C; YOR162C; YGL071W; YBR083W; YBL021C; YGL035C; YIR013C
YOR016C,YIL131C; YNL068C; YDR207C; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YPL075W; YGL237C; YHR124W; YKL032C; YPL038W; YCR084C; YNL314W; YIR033W; YIL130W; YPL139C
YPR157W,YIL131C; YNL068C; YMR037C; YHR206W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YOR032C; YML099C; YKL112W; YKR099W; YFL031W; YMR043W; YDL106C; YMR016C; YML027W; YKL032C; YPR199C; YJR127C; YDR253C; YER040W; YGL073W; YDR213W; YCR084C; YBL103C; YNL167C; YGL071W; YOR028C; YBR083W; YER028C; YNL199C; YIR018W; YDR259C; YDR043C; YAL051W; YPR008W; YPL139C
YMR259C,YOL108C; YHL027W; YDL020C; YML007W; YEL009C; YIR017C; YJR060W; YFR034C; YDL056W; YHR124W; YKL032C; YPL038W; YDR253C; YER040W; YLR228C; YER169W; YOR162C; YFL021W; YBR083W; YIR033W; YNL199C; YGR249W; YMR042W; YOL067C
YHL011C,YMR037C; YKL062W; YHL027W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YCR106W; YLR403W; YKR099W; YMR043W; YHR124W; YKL032C; YPL038W; YDR253C; YGL073W; YCR084C; YOR290C; YJL127C; YIR033W; YPL254W; YAL051W
YGR262C,YNL216W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YDR123C; YKL109W; YDL056W; YKL032C; YPL038W; YER088C; YNL314W; YOR162C; YLR451W; YGL162W
YKL061W,YIL131C; YMR037C; YHL027W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YPL075W; YGL237C; YLR403W; YKR099W; YPR104C; YDL106C; YIL101C; YKL032C; YJR127C; YDR253C; YPR065W; YOR162C; YOR028C; YBR083W; YER028C; YJL127C; YBR297W; YBR049C; YDR259C; YML076C; YKL043W
YNR046W,YIL131C; YMR037C; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YDR123C; YPL075W; YGL237C; YLR403W; YKL112W; YKR099W; YPR104C; YDR463W; YDR253C; YCR084C; YHR178W; YFL021W; YOR290C; YDR216W; YJL127C; YGL035C; YIR033W; YNL199C; YAL051W; YDL170W
YGR092W,YIL131C; YNL068C; YNL216W; YHL027W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YIL036W; YGL166W; YDR123C; YER111C; YLR403W; YCL055W; YDL056W; YMR043W; YIL101C; YML027W; YKL032C; YPR199C; YPL038W; YDR451C; YNL027W; YGL073W; YPR065W; YER130C; YGL071W; YBR083W; YDR216W; YIR018W; YMR182C; YGR044C; YPR008W; YOR372C; YMR042W; YPL049C
YPL244C,YIL131C; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YKR099W; YFL031W; YHR124W; YPR199C; YJR127C; YPL038W; YDR253C; YLR228C; YCR084C; YFL021W; YJL127C; YPL254W; YLR182W; YDR501W; YMR019W
YGR031W,YKL062W; YNL216W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YKL112W; YPR104C; YDR146C; YPR199C; YJR127C; YPL038W; YDR253C; YNL027W; YCR084C; YNL314W; YOR162C; YOR028C; YBR083W; YDR392W; YGL209W
YFL001W,YMR037C; YKL062W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YJR060W; YKR099W; YJR127C; YDR253C; YNL314W; YMR070W; YJL110C; YGL254W
YGR143W,YIL131C; YNL068C; YMR037C; YNL216W; YHL027W; YHR206W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YDR123C; YLR403W; YMR043W; YML027W; YPR199C; YPL038W; YDR253C; YGL073W; YCR084C; YBL103C; YOR162C; YFL021W; YOR290C; YOR028C; YBR083W; YDR392W; YOR358W; YBR297W; YPL254W; YNL199C; YDR043C; YBR066C; YOR372C
YGR264C,YHL027W; YHR084W; YDR207C; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YPL075W; YGL237C; YLR403W; YKL112W; YMR016C; YKL020C; YHR124W; YKL032C; YPL038W; YDR253C; YGL073W; YCR084C; YOR162C; YFL021W; YOR290C; YER028C; YJL127C; YBR049C; YLR256W
YLR337C,YNL068C; YNL216W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YLR403W; YOR363C; YOR344C; YKL185W; YPR104C; YPL089C; YKL020C; YPL038W; YDR253C; YER040W; YGL073W; YPR065W; YCR084C; YER130C; YOR162C; YFL021W; YOR290C; YOR028C; YBR083W; YDR392W; YIR033W
YJL104W,YIL131C; YMR037C; YKL062W; YHL027W; YHR084W; YEL009C; YIR017C; YJR060W; YIL036W; YDR123C; YER111C; YJL056C; YPL075W; YPL248C; YOR363C; YKL112W; YPR104C; YLR223C; YMR043W; YPL089C; YMR016C; YML027W; YPL038W; YDR253C; YKR064W; YLR228C; YPR065W; YCR084C; YOR028C; YPL177C; YJL110C; YBR049C; YGL209W; YDR259C; YPL128C; YML076C; YDR423C; YBR112C
YJL138C,YNL216W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YNL103W; YPL075W; YLR403W; YMR016C; YKL020C; YHR124W; YPL038W; YDR253C; YGL073W; YCR084C; YNL167C; YOR290C; YDR392W; YJL127C; YBR297W; YKL043W; YLR183C; YLR113W
YDR318W,YNL216W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YLR403W; YPL038W; YDR253C; YCR084C; YOR028C; YBR083W; YDR216W
YKL082C,YIL131C; YNL068C; YOL108C; YMR037C; YKL062W; YNL216W; YHL027W; YHR206W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YDR123C; YNL103W; YML099C; YKL020C; YIL101C; YML027W; YPR199C; YPL038W; YDR253C; YKR064W; YDR451C; YNL027W; YPR065W; YDR213W; YER169W; YHR178W; YFL021W; YGL071W; YBR083W; YBR297W; YNL199C; YBR049C; YLR256W; YMR021C; YDR259C; YPL128C; YGL162W; YHR056C; YOL089C
YNL131W,YOL108C; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YJR060W; YIL036W; YPL075W; YGL237C; YPL038W; YDR253C; YCR065W; YLR176C
YPL196W,YOL108C; YMR037C; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YJR060W; YDR123C; YGL237C; YLR403W; YKL185W; YKR099W; YMR043W; YMR016C; YGL096W; YDR463W; YPR199C; YJR127C; YPL038W; YDR253C; YDR451C; YNL027W; YBL103C; YFL021W; YOR028C; YBR083W; YMR070W; YDR310C; YMR164C; YNL097C; YPL202C; YGR044C; YPL049C; YDL170W; YHL020C; YBR239C; YJL103C
YNR055C,YIL131C; YOL108C; YHL027W; YHR084W; YDR207C; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YGL237C; YLR403W; YPL248C; YOR363C; YBR240C; YOR344C; YPR104C; YDL056W; YMR043W; YHR124W; YDR253C; YER040W; YCR084C; YGL071W; YOR290C; YPL177C; YDR392W; YOR358W; YER028C; YMR070W; YDR310C; YIR033W; YPL254W; YGR249W; YOL028C; YBR182C; YJR094C
YOL044W,YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YLR403W; YOR363C; YDR253C; YER040W; YFL021W; YOR290C; YMR070W; YPL254W; YAL051W; YDR501W
YGR159C,YIL131C; YNL068C; YOL108C; YMR037C; YKL062W; YNL216W; YDR207C; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YPL075W; YLR403W; YKR099W; YPR104C; YCL055W; YMR043W; YKL020C; YHR124W; YKL032C; YPL038W; YDR253C; YGL073W; YCR084C; YER169W; YNL167C; YOR162C; YFL021W; YGL071W; YOR290C; YJL127C; YMR164C; YIR033W; YPL254W; YNL199C; YNL097C; YLR176C; YOR113W
YGR088W,YIL131C; YOL108C; YMR037C; YKL062W; YNL216W; YHR206W; YHR084W; YDR207C; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YFR034C; YIL036W; YGL166W; YDR123C; YNL103W; YER111C; YJL056C; YPL075W; YLR403W; YOR363C; YKR099W; YPR104C; YLR013W; YFL031W; YOL116W; YDL106C; YPL089C; YMR016C; YKL020C; YGL096W; YIL101C; YML027W; YHR124W; YKL032C; YJR127C; YPL038W; YDR451C; YNL027W; YDR096W; YGL073W; YPR065W; YER169W; YNL167C; YOR162C; YFL021W; YOR028C; YBR083W; YER028C; YJL127C; YGL035C; YIR033W; YGL254W; YNL199C; YPL202C; YLR256W; YCR065W; YMR172W; YLR451W; YMR021C; YLR266C; YIR018W; YDR259C; YDR043C; YBR066C; YAL051W; YER161C; YIR013C; YGR249W; YMR182C; YGR044C; YPR008W
YJL106W,YNL216W; YHL027W; YHR206W; YHR084W; YDR207C; YDL020C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YFR034C; YDR123C; YKR099W; YFL031W; YCL055W; YDL106C; YPL089C; YMR016C; YHR124W; YKL032C; YPL038W; YDR253C; YER040W; YDR096W; YCR084C; YNL167C; YGL071W; YOR028C; YBR083W; YGL035C; YJL110C; YBR049C; YLR256W; YCR065W; YMR172W; YIR018W; YDR043C; YBR066C; YMR182C; YKL043W; YJR094C; YPL139C; YBR112C
YDR376W,YOL108C; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YGL237C; YKL109W; YMR016C; YPR199C; YPL038W; YDR253C; YGL073W; YNL314W; YFL021W; YDR421W; YBL021C; YDR392W; YOR358W
YLR100W,YIL131C; YNL068C; YMR037C; YNL216W; YDR207C; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YDR123C; YPL075W; YKL112W; YKR099W; YDL106C; YMR016C; YHR006W; YHR124W; YPR199C; YPL038W; YDR253C; YLR228C; YPR065W; YDR213W; YCR084C; YHR178W; YFL021W; YOR028C; YBR297W; YNL199C; YLR256W; YGR249W; YMR042W; YLR176C; YGL162W; YER045C; YOL089C; YML081W; YPR009W; YER184C
YPR095C,YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YFR034C; YML027W; YPL038W; YDR253C; YER169W; YOR162C; YFL021W; YOR028C; YBR083W; YJL127C; YDR310C
YJL178C,YIL131C; YNL068C; YOL108C; YNL216W; YDL020C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YPL075W; YGL237C; YLR403W; YPL248C; YOR363C; YBR240C; YKR099W; YPR104C; YLR013W; YFL031W; YLR223C; YHR124W; YKL032C; YPL038W; YDR253C; YCR084C; YFL021W; YOR028C; YPL177C; YJL127C; YIR013C
YOL111C,YIL131C; YNL068C; YOL108C; YMR037C; YKL062W; YNL216W; YHR206W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YFR034C; YIL036W; YDR123C; YER111C; YPL075W; YLR403W; YPL248C; YKL112W; YKR099W; YPR104C; YCL055W; YIL101C; YHR124W; YKL032C; YDR463W; YPL038W; YDR253C; YER040W; YNL027W; YKL015W; YER088C; YCR084C; YBL103C; YNL167C; YHR178W; YOR162C; YGL071W; YJL127C; YDR277C; YMR164C; YLR256W; YDR043C; YAL051W; YPL049C; YOR380W; YDL170W; YOL028C; YKL043W; YER045C; YPL133C; YOR140W; YML081W; YKL038W; YJL089W; YHL009C
YOR157C,YIL131C; YMR037C; YKL062W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YOR363C; YKL112W; YKL020C; YKL032C; YDR253C; YHR178W; YOR162C; YGL071W; YGL035C; YBR049C; YPL128C
YHR057C,YIL131C; YNL216W; YHL027W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YJR060W; YNL103W; YGL237C; YKL112W; YKR099W; YKL032C; YPL038W; YDR253C; YCR084C; YER169W; YNL314W; YFL021W; YGL035C; YPL254W; YNL199C; YOL067C; YBR182C
YJR118C,YOL108C; YMR037C; YKL062W; YNL216W; YHR084W; YDL020C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YDR123C; YPL075W; YGL237C; YLR403W; YKL112W; YMR043W; YHR124W; YKL032C; YDR253C; YGL073W; YPR065W; YCR084C; YNL314W; YFL021W; YOR290C; YBR083W; YJL127C; YIR033W; YPL254W
YOL013C,YIL131C; YOL108C; YMR037C; YKL062W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YGL237C; YPL248C; YPR104C; YFL031W; YKL020C; YIL101C; YPR199C; YPL038W; YDR253C; YER040W; YGL073W; YLR098C; YOR290C; YOR028C; YBR083W; YIR033W; YPL254W; YDR259C; YLR176C
YMR033W,YNL068C; YMR037C; YDL020C; YGL013C; YBL005W; YML007W; YJR060W; YGL166W; YER111C; YGL237C; YKL112W; YKR099W; YLR013W; YDL106C; YPL038W; YDR253C; YLR228C; YDR213W; YER169W; YFL021W; YBR083W; YER028C; YJL127C; YDR277C; YBR297W; YNL199C; YKR034W; YMR182C; YPR008W; YMR042W; YDL048C
YOL025W,YNL068C; YMR037C; YKL062W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YKL112W; YKR099W; YHR124W; YKL032C; YPR199C; YPL038W; YDR253C; YCR084C; YBR083W; YDR392W; YPL254W; YIR018W; YDR259C; YPR008W; YLR176C
YJR122W,YIL131C; YNL068C; YOL108C; YMR037C; YKL062W; YNL216W; YHR206W; YHR084W; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YDR123C; YKL112W; YKR099W; YPR104C; YLR223C; YIL101C; YPL038W; YDR451C; YGL073W; YCR084C; YBL103C; YER169W; YHR178W; YOR028C; YBR083W; YER028C; YGL035C; YBR049C; YOL028C; YLR176C; YDR423C; YMR280C
YOR370C,YIL131C; YMR037C; YNL216W; YHR084W; YDR207C; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YGL166W; YER111C; YGL237C; YLR403W; YPR104C; YLR223C; YDL056W; YHR124W; YKL032C; YPR199C; YJR127C; YPL038W; YDR253C; YNL167C; YHR178W; YOR162C; YFL021W; YMR070W; YJL127C; YIR033W; YPL254W; YMR021C; YPR008W; YER184C; YJL103C
YJR063W,YDL020C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YOR032C; YPL075W; YGL237C; YLR403W; YPL248C; YOR363C; YBR240C; YOR344C; YKL112W; YLR131C; YPR104C; YKL020C; YPL038W; YER040W; YNL314W; YOR290C; YOR028C; YPL177C; YDR421W; YJL127C; YGL209W; YIR018W; YPR008W; YOL028C; YDR423C; YPL133C; YHR056C
YIL109C,YIL131C; YOL108C; YMR037C; YDR207C; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YJR060W; YIL036W; YDR123C; YLR403W; YLR013W; YKL109W; YMR043W; YKL020C; YHR124W; YKL032C; YJR127C; YPL038W; YCR084C; YNL167C; YGL071W; YOR290C; YOR028C; YBR083W; YBR049C; YDR259C
YNL008C,YNL068C; YMR037C; YKL062W; YNL216W; YHL027W; YDR207C; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YLR403W; YER109C; YMR016C; YHR124W; YPR199C; YPL038W; YER040W; YFL021W; YGL071W; YDR392W; YBR049C; YOL089C
YIL127C,YIL131C; YMR037C; YKL062W; YNL216W; YHL027W; YHR206W; YHR084W; YDR207C; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YGL166W; YOR032C; YLR403W; YPL248C; YOR363C; YBR240C; YOR344C; YDL056W; YMR043W; YMR016C; YDR146C; YHR124W; YPL038W; YDR253C; YER040W; YGL073W; YKL015W; YCR084C; YER169W; YHR178W; YFL021W; YOR290C; YOR028C; YPL177C; YBR083W; YDR421W; YMR070W; YDR310C; YBR049C; YPL133C
YFL044C,YMR037C; YKL062W; YHL027W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YKR099W; YER109C; YDL056W; YOL116W; YPL038W; YGL073W; YCR084C; YFL021W; YOR290C; YBR083W; YMR070W; YJL127C; YBR297W; YMR164C; YGL035C; YIR033W; YPL254W
YKL212W,YNL068C; YMR037C; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YDR123C; YGL237C; YLR403W; YPL248C; YOR363C; YOR344C; YLR131C; YKR099W; YDL056W; YDL106C; YPL038W; YDR253C; YNL027W; YCR084C; YNL167C; YFL021W; YGL071W; YBR083W; YJL127C; YBR297W; YMR021C; YPR008W
YLR200W,YIL131C; YHL027W; YHR206W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YER111C; YJL056C; YGL237C; YLR403W; YPL248C; YOR363C; YBR240C; YOR344C; YDL056W; YMR043W; YHR124W; YKL032C; YDR253C; YER040W; YDR451C; YGL073W; YBL103C; YHR178W; YFL021W; YOR028C; YPL177C; YBR083W; YDR392W; YER028C
YKR027W,YNL068C; YMR037C; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YPL075W; YOR363C; YHR124W; YPL038W; YPR065W; YNL167C; YHR178W; YOR162C; YDR392W; YMR070W; YBR297W; YBR049C; YBR182C; YLR183C; YML081W
YER125W,YIL131C; YNL068C; YKL062W; YNL216W; YHL027W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YFR034C; YLR403W; YPL248C; YOR363C; YOR344C; YKL112W; YLR131C; YDL056W; YMR016C; YKL032C; YPL038W; YDR253C; YCR084C; YPL177C; YBR083W; YER028C; YMR070W; YJL127C; YDR277C; YDR310C
YIL151C,YNL216W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YKL109W; YHR124W; YPL038W; YDR253C; YGL073W; YFL021W; YBR083W; YBR049C; YER045C
YNL145W,YIL131C; YNL068C; YMR037C; YKL062W; YHR206W; YHR084W; YDL020C; YML007W; YEL009C; YIR017C; YJR060W; YFR034C; YIL036W; YNL103W; YER111C; YLR403W; YKL112W; YLR131C; YPR104C; YFL031W; YKL109W; YLR223C; YCL055W; YMR043W; YDL106C; YMR016C; YKL020C; YDR146C; YGL096W; YIL101C; YML027W; YKL032C; YPL038W; YDR253C; YER040W; YDR451C; YNL027W; YDR096W; YGL073W; YKL015W; YPR065W; YCR084C; YER169W; YOR162C; YFL021W; YOR028C; YPL177C; YBR083W; YDR216W; YMR070W; YGL035C; YJL110C; YGL254W; YGL209W; YMR021C; YIR018W; YDR259C; YGR044C; YOR372C; YKL043W; YBR112C; YOR140W; YHL009C
YOL038W,YNL068C; YMR037C; YKL062W; YNL216W; YHL027W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YFR034C; YIL036W; YPL075W; YLR403W; YKL112W; YKR099W; YPR104C; YMR043W; YDL106C; YMR016C; YHR006W; YIL101C; YPL038W; YDR253C; YKR064W; YDR451C; YCR084C; YER169W; YNL167C; YOR162C; YFL021W; YGL071W; YOR290C; YJL127C; YDR277C; YMR164C; YNL199C; YPL202C; YAL051W; YGR044C; YLR113W; YPL139C; YPR009W; YHL020C; YBR239C
YPR079W,YNL216W; YHL027W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YKL112W; YKR099W; YPR104C; YFL031W; YLR223C; YDL056W; YHR124W; YPL038W; YDR253C; YGL073W; YCR084C; YBL103C; YOR028C; YBR049C; YIR018W; YHR056C; YHL009C
YHR008C,YIL131C; YNL068C; YMR037C; YKL062W; YHR206W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YNL103W; YGL237C; YLR403W; YKR099W; YPR104C; YFL031W; YKL109W; YMR016C; YKL020C; YKL032C; YPL038W; YDR253C; YER169W; YOR162C; YFL021W; YBL021C; YOR358W; YER028C; YPL202C; YLR256W; YCR065W; YAL051W; YOL028C; YGL162W; YDR423C
YLR231C,YOL108C; YNL216W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YDR123C; YER111C; YJL056C; YPL075W; YLR403W; YKL112W; YKL185W; YKR099W; YER109C; YFL031W; YMR043W; YHR006W; YIL101C; YKL032C; YDR463W; YPL038W; YDR253C; YER040W; YNL027W; YER088C; YBL103C; YER169W; YNL167C; YFL021W; YOR290C; YBR083W; YDR392W; YDR310C; YIR033W; YNL199C; YCR065W; YLR451W; YMR021C; YPL049C; YPL139C; YKL038W; YDL048C; YDR520C
YKL187C,YIL131C; YMR037C; YKL062W; YHR084W; YDR207C; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YJR060W; YIL036W; YOR344C; YKL112W; YLR013W; YFL031W; YDL106C; YKL020C; YIL101C; YML027W; YHR124W; YKL032C; YDR253C; YDR451C; YGL073W; YPR065W; YCR084C; YBL103C; YER169W; YHR178W; YGL071W; YOR028C; YBR083W; YDR216W; YER028C; YMR070W; YDR310C; YLR256W; YMR021C; YAL051W; YIR013C; YGR249W; YMR182C; YGR044C; YPR008W; YLR176C; YGL162W; YPL133C; YJR094C; YHR056C; YMR280C; YOR140W
YAL028W,YIL131C; YNL068C; YOL108C; YMR037C; YNL216W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YDR123C; YKR099W; YPR104C; YFL031W; YKL109W; YCL055W; YPL089C; YMR016C; YHR124W; YPR199C; YJR127C; YPL038W; YNL027W; YDR096W; YGL073W; YPR065W; YNL314W; YFL021W; YOR028C; YBR083W; YMR070W; YMR164C; YIR033W; YNL199C; YBR049C; YGR249W; YGR044C; YPL128C; YDR520C
YPL220W,YIL131C; YNL216W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YJR060W; YFR034C; YIL036W; YPL075W; YGL237C; YLR403W; YKR099W; YPR104C; YER109C; YLR223C; YMR043W; YKL020C; YPL038W; YLR228C; YDR096W; YGL073W; YPR065W; YCR084C; YER169W; YNL314W; YGL071W; YOR290C; YBR083W; YJL127C; YDR310C; YGL035C; YIR033W; YPL254W; YNL199C; YLR182W; YPR008W; YJL103C
YJL111W,YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YPL075W; YGL237C; YKL112W; YKR099W; YKL020C; YJR127C; YPL038W; YDR253C; YGL073W; YCR084C; YOR290C; YBR049C
YLR037C,YOL108C; YNL216W; YHR206W; YHR084W; YDR207C; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YLR403W; YPL248C; YOR344C; YER109C; YFL031W; YKL020C; YIL101C; YPL038W; YDR253C; YLR228C; YKL015W; YDR213W; YCR084C; YBL103C; YGL071W; YOR028C; YBR083W; YDR392W; YMR070W; YJL127C; YCR065W; YLR176C; YBR112C
YHL033C,YIL131C; YNL068C; YMR037C; YKL062W; YNL216W; YHR206W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YNL103W; YER111C; YPL075W; YLR403W; YKL112W; YKR099W; YPR104C; YFL031W; YLR223C; YMR043W; YDL106C; YMR016C; YKL020C; YHR006W; YPL038W; YER040W; YLR228C; YGL073W; YPR065W; YCR084C; YBL103C; YER169W; YOR162C; YFL021W; YGL071W; YOR290C; YOR028C; YBL021C; YDR392W; YJL127C; YDR310C; YGL035C; YIR033W; YPL254W; YJL110C; YNL199C; YBR049C; YGL209W; YDR043C; YBR066C; YML076C; YKL043W; YDR423C; YBR215W
YGR102C,YMR037C; YKL062W; YNL216W; YHL027W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YPL075W; YPL248C; YKR099W; YPR104C; YPL038W; YDR253C; YNL167C; YOR028C; YOR380W
YHR050W,YIL131C; YNL068C; YMR037C; YKL062W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YER111C; YGL237C; YLR403W; YKL112W; YKR099W; YFL031W; YKL109W; YMR043W; YIL101C; YKL032C; YJR127C; YPL038W; YDR253C; YCR084C; YER169W; YHR178W; YOR162C; YBL021C; YOR358W; YER028C; YMR021C
YDL227C,YOL108C; YMR037C; YKL062W; YNL216W; YHL027W; YHR206W; YHR084W; YDR207C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YIL036W; YGL166W; YOR032C; YDR123C; YNL103W; YER111C; YLR403W; YLR131C; YKL185W; YKR099W; YIR023W; YPR104C; YER109C; YLR013W; YFL031W; YKL109W; YLR223C; YCL055W; YDL056W; YMR043W; YOL116W; YDL106C; YPL089C; YMR016C; YKL020C; YHR006W; YDR146C; YGL096W; YIL101C; YML027W; YHR124W; YKL032C; YDR463W; YPR199C; YJR127C; YPL038W; YDR253C; YER040W; YKR064W; YDR451C; YNL027W; YLR228C; YDR096W; YGL073W; YKL015W; YPR065W; YDR213W; YER088C; YCR084C; YER130C; YBL103C; YER169W
YNL098C,YMR037C; YHL027W; YHR206W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YFR034C; YDR123C; YLR403W; YOR344C; YLR131C; YKR099W; YPR104C; YFL031W; YLR223C; YDL106C; YMR016C; YHR006W; YKL032C; YDR253C; YKR064W; YPR065W; YBL103C; YNL167C; YHR178W; YOR162C; YFL021W; YGL071W; YDR216W; YJL127C; YDR277C; YGL035C; YIR033W; YNL097C; YPL202C; YAL051W; YOR380W; YPL139C; YPR009W; YHL020C; YDR477W
YLR371W,YOL108C; YDL020C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YDR123C; YER111C; YGL237C; YKL112W; YKL020C; YHR124W; YPL038W; YDR253C; YPR065W; YPL177C; YLR451W; YMR182C
YMR067C,YNL068C; YMR037C; YKL062W; YDR207C; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YDR123C; YLR131C; YKR099W; YKL109W; YDL056W; YPR199C; YPL038W; YDR253C; YBL103C; YJL127C; YPL202C; YLR451W; YGR249W; YPR008W; YPL139C; YPR009W
YMR075W,YOL108C; YHL027W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YEL009C; YIR017C; YJR060W; YGL237C; YLR403W; YER109C; YIL101C; YHR124W; YPL038W; YDR253C; YER040W; YCR084C; YBL103C; YBR083W; YPL202C; YLR256W; YPL139C
