,best_network_score,mean_network_score,model_score
YML078W,-0.3747122529927719,-3.1831910347427232,-0.6286324200927319
YML124C,0.18645032978312343,-1.0252811345992736,0.19981765008890578
YGR225W,0.25211406405274833,-1.446755897141802,0.762100375824048
YPL239W,0.4808829451187625,-0.7022941460729916,0.4956277531396845
YFR044C,-4.225061674470648,-31.01489583944486,-7.591237536584745
YLR090W,-0.5164992317346013,-4.701774472783198,-0.10540156625164107
YLR455W,0.33323241322048824,-2.8992821414455276,-0.5477700183244304
YGR083C,0.4010131138073497,-1.6954409307028802,-0.6249861232679056
YMR023C,0.17192306972050317,-1.6796648502187934,-0.46624218381342697
YLR022C,0.14688036532858076,-2.875341178249552,-0.3866140778866686
YIL143C,0.07869491386101898,-4.277623385678763,-0.5349861143270809
YML120C,0.18820431232367738,-23.78157767540374,-0.8813956395053599
YJR076C,0.21244812923626483,-0.30192379898759303,0.06791982639065341
YHR025W,0.28460017963206374,-0.30390233965096813,0.15632495713403965
YJR031C,-0.34673730757082105,-1.603789353982353,0.12547832401607012
YOL033W,-0.19086690834254988,-1.1422604982754692,-0.6461512458112628
YDL204W,-38.122702713722354,-309.00243976818484,-27.146365406438843
YDL076C,-0.10641409116005673,-0.5697474037753489,0.11408590423000028
YNL290W,-0.5679737420875685,-2.5008697759679674,0.04897420469348237
YDR189W,-0.5378700810170667,-5.176406825293826,-0.12510651592287486
YHR211W,0.023606048472147267,-1.0957173494630175,-0.0953938400898954
YDR235W,0.19814791757650627,-0.2939145699306595,0.19909343315317715
YDR493W,-0.09962209105530251,-5.021776515053258,0.5814698330660457
YLR386W,0.40323206812108614,-0.13623333473805765,0.31905140168017676
YER081W,-0.6166078947900427,-7.253532964380473,-0.8477862703794857
YDR485C,-0.2224720746021231,-0.8603821950790438,-0.23023739298786117
YPR199C,-1.1571753250823433,-2.747014063077062,-0.9815673635103751
YIL098C,-0.26948529802847593,-8.029205696977984,0.23685561949735154
YGL055W,0.0007529575821769496,-0.8778402249147952,-0.06389159995683694
YDR258C,-334.44043342033785,-2205.2202577128937,-308.3441981414411
YDR226W,-0.0638857648278945,-1.0018595846329972,-0.5259281244719751
YML085C,0.12508838467132619,-0.2562154148796777,-0.020899905235284334
YIR011C,0.1454660146777505,-0.5357587702076372,0.2943572209643249
YDR354W,-0.051311936698091885,-0.8230672756690842,-1.1709563517958905
YJL115W,0.23340485422578067,-0.8863929487006343,0.367234124204954
YCR019W,0.5127234428999234,-2.873983702069653,0.5861773802286376
YDL010W,-0.02287312465069926,-0.2703447190877826,-0.17232396938334996
YPR055W,0.41372101157111285,-0.609349670970453,-0.09475186201510566
YPR026W,-0.48435016456552943,-7.841258402720577,-0.603807455410051
YHR198C,-4.065490355986889,-15.56264805258759,-2.73128369706979
YGR085C,-1.6348063845883332,-7.789884922932565,-1.5270055300091978
YER035W,-0.8614316777670856,-12.095645833692739,-11.204479876846381
YHR169W,-1.405123391363881,-13.600491440880983,-4.231468006622957
YGL131C,-0.42412785736392555,-2.5674067041665447,0.12496453964139351
YLL055W,-17.45145550161947,-266.24221048415956,-47.02510528236165
YLL015W,-2.9585799972837226,-30.988662039132425,-1.767579794749254
YPL153C,0.4536369304600729,-2.119973352768105,0.506653062608839
YOR134W,0.22924265741043265,-1.6042298944518476,0.43188011005588933
YJR089W,-0.08520382896559327,-0.6986311985508891,-0.04879679705073965
YBR009C,0.08553094123335017,-0.6225881481410956,0.4989840823462872
YLR425W,0.19862935849397106,-3.048972591833766,-0.8436379770771317
YPL078C,0.04989783071499147,-1.3338271327680755,0.039983812880505766
YKR001C,-0.5857447582394846,-5.322615476227337,-0.31599534647857846
YOL130W,-0.23653548899658103,-6.6505325976686755,-0.3291295813616836
YKL204W,0.43572419436968,-1.2453697770448235,0.39235752336883745
YLR414C,-2.320231143579002,-4.946765372817899,-0.5458560523842415
YPR155C,0.1136946766240545,-2.1929784713425273,-0.41437497490110553
YGR030C,-1.997359036432917,-13.721678368433784,-2.3880635941958372
YJL102W,0.5623910963452119,-0.8248521367618826,0.31279905126782426
YOR059C,-2.123885427799987,-13.525160121975338,-0.7767959305146102
YHR092C,0.26352819330195476,-0.6922779411208592,-0.027043898788576826
YLL039C,-8.067377764441776,-112.46950628599492,-11.03291025288479
YBR171W,-22.28463924677529,-39.222155180212305,-19.98357905238111
YNL066W,-0.10072353625779695,-1.7190056360208716,-0.11030734512700564
YNL210W,-0.023423915200877898,-1.1350156313599562,0.5081875708784014
YER067W,-1.701964368675889,-39.70400970099761,-9.123243402725157
YPL011C,0.12040212291615968,-1.471663570734092,-0.3108082378618725
YPL112C,-1.34929095980995,-8.758760015204603,-0.8224219756704162
YKR080W,0.29692776038802543,-2.468713146181962,0.2155933926495274
YKL215C,0.29004244877732105,-0.8235713247361982,0.4073203774020744
YGL190C,0.20850535948313195,-0.9083559282206258,0.4095271819196523
YMR218C,-1.5840452726138157,-2.835404301361229,-0.28756620223636914
YNL173C,0.2080106753436594,-2.421316737464296,-0.7515210078902643
YBR084C-A,0.05102851467671754,-2.4878838130660954,0.4044399037410207
YKR072C,0.07641861512542003,-5.811980959966772,0.3007090558745117
YPL213W,0.5114155165593236,-1.0740721530490513,0.6262522997091896
YJR112W,-0.0032131627412017583,-8.168960851376239,-0.2137303463224768
YLR319C,0.4929628895059045,-0.6642642241053874,0.6078170124527824
YMR259C,-0.23334187423208963,-1.843570783371102,-0.009467229658490894
YJR009C,0.12039349408548983,-10.105298463036204,-10.046226318065193
YDR429C,0.6194156033596029,-0.4258252097577593,0.278141393262132
YBL087C,0.44380938394762764,-2.96105782272254,0.5219953019336976
YJL098W,-3.7710047458899125,-28.814428380335205,-4.733314151964013
YKL057C,-0.8937545382248432,-14.572362354614611,-0.4222676493396622
YHL010C,0.7175200722967777,-1.8313916523359097,0.680686759184788
YOL111C,-0.002528642347343757,-2.567005657396209,0.3823464849621002
YKL056C,0.3058226297670015,-4.971475441071934,-0.059374609432276994
YLL026W,-60.799132705735566,-582.36666045694,-56.82866305086202
YLR141W,0.3896655584444585,-1.2930413176760422,0.7150816470683801
YBR291C,-0.4836029323747558,-1.093950989452763,-0.027863123508642618
YFR038W,0.2664989872197491,-0.6353289958688385,0.2822807353357047
YIL045W,0.532506193850274,-1.9445018359714594,0.5592275284104369
YDR025W,-1.9288683234581439,-5.951017621207501,-0.8659215532061589
YKL145W,-3.5068557226023067,-47.703308555358525,-25.107232622527107
YDL017W,0.47341801690885765,-1.1775726810147131,0.7299394227792486
YKL011C,-0.019804019518475612,-1.4569849345943329,-0.08624657460762686
YOR026W,0.01600755234012381,-2.9783502193368645,0.08350479778930948
YJL128C,0.5849019919321499,-5.298568489719805,0.35588602470934305
YIL022W,-0.2507360176512105,-3.7351273933120934,-0.9773405500379798
YCR089W,-1.8139131666206407,-4.740094225290588,-1.5051525217320365
YER165W,0.31675042078369686,-0.7362453071902068,-0.9884837503553662
YDR542W,0.4481830871068803,-2.015801373763718,0.7732802626283803
YPR010C,0.4774233468905355,-0.7774204055690145,-0.09485246297024892
YLR333C,-1.4112788306653814,-3.9532868526074427,-0.10146314087682477
YER175C,-0.23261851002275416,-2.8765695898467634,-0.6959727777605207
YMR233W,0.3290688712889252,-0.8473968061222501,0.3178598163260292
YNL271C,0.13368035358998537,-3.456918677556886,-0.5894320985852456
YGR198W,-0.001420756999752415,-5.863272089904669,-0.11741746357102753
YBL042C,0.031535558168574764,-1.6211643244733522,-0.028745695794998305
YIL010W,0.23156633729433587,-2.081516979161365,0.19812813113117633
