,network_score,model_score,moded_network_score,diff,network_model_score
YNL083W,0.8489216354871661,0.5509024484809923,0.8355848627017286,-0.2980191870061738,0.8553986489008563
YLL060C,0.6542134690599668,0.35601565123803236,-0.145458238417554,-0.29819781782193444,0.6829931734633757
YNL327W,0.4415790627914856,0.14325345658626532,-0.028644553100525272,-0.2983256062052203,0.32231054448823293
YNR053C,0.3140053551047969,0.015612183899352372,-1.7135632235774847,-0.2983931712054445,0.313018103791346
YJL190C,0.7546618642176265,0.45616331246538044,0.709586349520563,-0.29849855175224604,0.6361700579374547
YDL220C,0.9384022279602202,0.6394551725199419,0.6746588090566785,-0.29894705544027833,0.9209262475818082
YBR058C,0.8791264024341001,0.5796613635680895,0.6117966491569748,-0.2994650388660106,0.9256548839872447
YER104W,0.7798733304732873,0.4803738971091359,0.36894418382335115,-0.2994994333641514,0.6920983114977444
YDL120W,0.8746364297047489,0.5749227630411773,0.09955235906141569,-0.2997136666635716,0.8610476169389073
YCR084C,0.9408802032744364,0.64111349735246,0.7408655986232833,-0.2997667059219764,0.9099914374738246
YJL053W,0.8371372695191588,0.5370012915955074,-0.15268944176156163,-0.30013597792365143,0.8576648496005196
YAL056W,0.7704381315313766,0.4701062465783562,0.785699292023913,-0.30033188495302043,0.8315223132939917
YPL166W,0.7391471911831202,0.4386628930377987,0.5630067610885079,-0.3004842981453215,0.7386593441122404
YMR067C,0.963675266072834,0.6631575049817728,0.9220288921161637,-0.3005177610910612,0.9836765955226464
YBR140C,0.8545261821883755,0.553206530689627,0.9602907587762789,-0.3013196514987485,0.9303956848193521
YPL170W,0.8526818359131476,0.5513430563611669,0.22468109704149863,-0.30133877955198074,0.8192929594921281
YDR527W,-0.5229952223926542,-0.824496166517207,-0.5948027349121265,-0.30150094412455286,0.6109447218863091
YMR224C,0.9355902930871852,0.6339299835403559,0.6560090507866951,-0.3016603095468293,0.9357066164605836
YDL149W,0.8849503332882309,0.5829966785106737,0.477828918384125,-0.3019536547775572,0.8858799493212188
YOR256C,0.9536424206924912,0.6514392125024471,0.9493327080772387,-0.3022032081900441,0.944102579331887
