,network_score,model_score,moded_network_score,diff,network_model_score,all_linear_score
YPR026W,0.7884820732117106,0.1370661518587294,0.5751088203164905,-0.6514159213529812,0.6844760534392664,-6.0051235393283555
YBR046C,0.6982142175399719,0.0464521984993221,-1.7017371312866283,-0.6517620190406498,0.6963692130488222,0.07315192836848614
YNL087W,0.5859865022318593,-0.0658656142233706,0.7710123629106773,-0.65185211645523,0.6198686959822441,-0.986023529377188
YFR017C,0.6643332135267013,0.0120943467599696,-0.1322533306804936,-0.6522388667667316,0.6798712759903459,-3.202936457628631
YKR029C,0.939143810984381,0.2861255838333421,0.6829844821922493,-0.653018227151039,0.972488156325328,-0.8728186644509375
YCL005W,0.8641082654364293,0.2095635106985678,0.6956927758884778,-0.6545447547378614,0.8804206810902662,-0.35269686088710184
YFR043C,0.8402759173446701,0.1855096151253248,0.605902925648636,-0.6547663022193453,0.8201054736794999,-0.4257518867371452
YGR084C,0.9031509728197646,0.2482549715520134,0.0405806079446973,-0.6548960012677512,0.9165467480013952,-0.8471102615905888
YMR113W,0.8594871765304295,0.2043205729790003,0.6662333717195896,-0.6551666035514292,0.7931104393427463,-3.907401386975203
YKR100C,0.8255685059125872,0.1703221255597681,-0.059463521768601,-0.6552463803528191,0.8648862780433738,-1.417329923272658
YDL160C,0.8459242882529973,0.1900666021758189,0.3096768320104817,-0.6558576860771783,0.853850223723416,-0.9105001726608684
YDR272W,0.7535715153026099,0.0972629518931572,0.3995004415883754,-0.6563085634094526,0.7417894279400512,-15.749609020229528
YMR094W,0.8670808410233491,0.2104134780191757,0.5510736482305346,-0.6566673630041734,0.8695651521594363,-0.47529317052290637
YBR261C,0.4982135518499285,-0.1587407340137594,0.2969863872398319,-0.656954285863688,0.7352327562123337,-6.785000347768365
YBR146W,0.8271704292270545,0.1700652931605095,-2.097245068405323,-0.657105136066545,0.8222292372608933,-1.6668088447177596
YBR108W,0.8818027766150005,0.2245611520888828,0.5718268155109966,-0.6572416245261177,0.876975506448197,0.15730123563506826
YDL238C,0.7289179386129041,0.0712358200294986,0.6323313252902636,-0.6576821185834054,0.7044287369713982,0.2078863413921312
YHR046C,-0.484626905736196,-1.1426090036636745,-7.984698624583423,-0.6579820979274784,-0.1604718621135401,-29.892269803360914
YPR067W,0.8340470548829175,0.1743261527604985,0.555274828791765,-0.659720902122419,0.8643476010841077,0.36460581813443105
YNR030W,0.8736101215550408,0.2134833460218992,0.7776288551974533,-0.6601267755331416,0.8559916938288833,-0.001526879795130376
YDR277C,0.262736843591706,-0.3975541407256184,-0.0861632132673737,-0.6602909843173245,0.2275282455308815,-0.5223673371713181
YGR198W,0.8283881725635507,0.1676727172035041,0.9521608302158764,-0.6607154553600465,0.7685883979468366,-1.3394102756061792
YKR095W-A,0.864086718881967,0.2031537777740026,0.1457985650172104,-0.6609329411079643,0.6106084149490989,-4.358295045272962
YCR095C,0.8332780668271729,0.1723167070463053,0.6135069938327159,-0.6609613597808676,0.8668579367562951,-3.6857546285456815
YIR036C,0.85270202283737,0.1915931524529511,0.5565400981980226,-0.6611088703844188,0.8262765469012172,-1.0320528196907837
YMR089C,0.8985546008034526,0.2373302744996817,0.4483284541942544,-0.6612243263037709,0.8503848004415615,-1.8085142800737164
YOR171C,0.8253933052836266,0.1640345916836945,0.0524011127094439,-0.6613587135999321,0.851712251280734,-1.7660449241515148
YMR145C,0.8553154289815164,0.1927997816867347,0.5169894761400233,-0.6625156472947816,0.862888397937174,0.5253586197319954
YNL178W,0.5950192902862476,-0.067770286918928,0.1445451758309854,-0.6627895772051756,0.5173692846226348,-0.510562632494885
YGR080W,0.8067808559624073,0.1435172121011845,-0.5318643352413699,-0.6632636438612228,0.8467906042005919,-0.20128506390758183
YLR424W,0.7502000669377094,0.0863309088868546,0.6631631168747798,-0.6638691580508547,0.7813386028069441,-0.11585219099595719
YLR431C,0.8796816792566172,0.214923396140152,0.6934219134065572,-0.6647582831164652,0.8833512538302972,-3.027478930390101
YNL077W,0.7863718843957532,0.1214858564561697,0.7019915919731612,-0.6648860279395835,0.774148535023491,-1.548793104778255
YDR350C,0.9130738341567552,0.2467335531406127,0.9141773043722454,-0.6663402810161425,0.923684770634787,-1.0601632268152756
YJL034W,0.7532050039125239,0.0868463646393876,-0.2624126690066852,-0.6663586392731362,0.7792035439950767,-0.7857691039670135
