,rf_score,linear_score,gs_rf_score,gs_linear_score,rf_with_linear_top_features_score,linear_with_rf_top_features_score,rf_rmse,linear_rmse,gs_rf_rmse,gs_linear_rmse,rf_with_linear_top_features_rmse,linear_with_rf_top_features_rmse,rf_with_top_features_score,linear_with_top_features_score,rf_with_top_features_rmse,linear_with_top_features_rmse,rf_top_feature_num,linear_top_feature_num,rf_top_features_gs_overlap,linear_top_features_gs_overlap,rf_linear_top_features_overlap,gs_edge_num,test_var,test_std
yabS,-6.63711407329295,-6.253877296981748,-12.756532628586413,-5.8981671006681795,-6.4797371465401525,-11.538399927771236,0.3183173196304877,0.3102278142031089,0.4272185697155231,0.30252584708429714,0.3150204869439285,0.407865235282274,-9.989030939631293,-5.295831207412696,0.3818346430703318,0.2890161878864864,6.0,7.0,1.0,0.0,1.0,1.0,0.014048011191891276,0.1185243063337275
pycA,0.9199403970760436,0.9392178285515811,0.7806116885014345,0.8255114531670786,0.8665224772907285,0.7934549776038693,0.2226523910703225,0.1940031372938433,0.3685762866955637,0.32870333498061444,0.2874913063983558,0.3576251180008187,0.8898597163511625,0.8942243181553575,0.26115223248954167,0.25592550225831556,6.0,8.0,1.0,1.0,2.0,3.0,0.6556391502286294,0.8097154748605397
ytkL,0.9395082006966219,0.9538553227575481,0.5431613187196916,0.20130797138778678,0.692462713490233,0.9026597555499297,0.11393009199880151,0.09950639742002655,0.31309175527477723,0.4139804876152539,0.25688520117339403,0.1445228153077301,0.9593543284257365,0.4155418508123345,0.0933893491217648,0.35413341380541263,7.0,7.0,0.0,0.0,0.0,1.0,0.22719772443829744,0.47665262449534196
racX,-0.04057900950972049,0.04978801991820492,-0.7229904553310473,-1.5470565030461327,-0.22877948491657563,-0.8517206666934451,0.1287553570961549,0.12303765010451685,0.16567966698614411,0.2014406280461097,0.1399151534561617,0.17175742241940567,0.11303248753421047,-0.26384002019485786,0.11887256492159283,0.14189720100191344,6.0,9.0,0.0,0.0,2.0,1.0,0.01686860380446472,0.12987918926627437
spoVT,0.8517445078006353,0.7746386563878682,0.8667528451310493,0.0583573172569376,0.8929634114257625,0.79148079883078,0.13281984033737868,0.16375601829565642,0.1259176270355732,0.3347346158716308,0.1128557491055191,0.15751814349882615,0.813512570539107,0.8933404118548305,0.14896434786032936,0.11265682555699047,7.0,8.0,0.0,0.0,1.0,2.0,0.1259907613697011,0.3549517733012488
lytD,0.9192184833126348,0.9320206374216177,0.7964079554891497,0.8812221470533959,0.9312111076215983,0.8878872129363993,0.14225501853087916,0.13049688321967817,0.22583538845060003,0.17249611984471566,0.13127159237213404,0.16758655352456425,0.9102808966925948,0.9280492379192631,0.14991809579311227,0.1342546368668138,7.0,9.0,1.0,0.0,0.0,1.0,0.26524473614843075,0.5150191609527074
glpD,0.9394117886887356,0.9299004147723493,0.8498376466608042,0.8447967759602362,0.9331931634097639,0.897831007054373,0.19129219056875688,0.20575997521007755,0.3011505826308623,0.3061635916962387,0.20086932891057754,0.2484063715124341,0.920494753797236,0.9506294848362253,0.2191296112004807,0.1726779977505415,6.0,7.0,0.0,0.0,3.0,4.0,0.639484368766895,0.7996776655421202
hutI,0.6978594639690128,-0.6707246002195326,0.5317652222237927,0.27147872102440584,0.729832662980057,0.18223002256951182,0.11923092809021289,0.28037343374343693,0.14842814524375478,0.1851422543379309,0.11274592339502987,0.19615528238808821,0.34944349544105247,-0.10233674809700766,0.17495523364085172,0.22774118159968817,7.0,7.0,2.0,1.0,0.0,4.0,0.04981870536531104,0.22320104248258127
yclK,0.04709863480392629,0.046575466553797296,-1.7124695801638943,-0.06765818714485872,0.11138943547270674,-1.0856019461244792,0.13392468610094024,0.1339614451674955,0.225953514476363,0.14175969818662346,0.12932795151632218,0.19813097388535533,0.21104286793732385,-0.0816024473491701,0.1218606150630165,0.14268242870769612,7.0,8.0,0.0,0.0,0.0,1.0,0.01992952320897944,0.1411719632539671
yqhV,0.9669905247876986,0.9679127547555031,0.9715398532597286,0.9363811496616171,0.9747060153812832,0.969495558294367,0.14061348614224986,0.1386353178334523,0.13056483765787238,0.19520933137964522,0.12308816312834925,0.13517276765995548,0.9524679451378111,0.9781988413619159,0.16873336222285765,0.114274006220586,7.0,9.0,1.0,1.0,1.0,1.0,0.6342185128261227,0.7963783729020538
