,rf_score,linear_score,gs_rf_score,gs_linear_score,rf_with_linear_top_features_score,linear_with_rf_top_features_score,rf_rmse,linear_rmse,gs_rf_rmse,gs_linear_rmse,rf_with_linear_top_features_rmse,linear_with_rf_top_features_rmse,rf_top_feature_num,linear_top_feature_num,test_var,test_std
YFL046W,0.7505323174126628,0.7588652397392023,0.7612878172089179,0.7632839436323493,0.7446584009045984,0.7637285157889356,0.031937814693400936,0.03139987796657346,0.031241749250759038,0.03111085228906012,0.03231162778449374,0.031081624194101827,7,9,0.00416053556376399,0.06450221363460319
YLR380W,0.008121962741214461,-0.13570321931317375,0.10491187411728153,0.06333984501455048,0.20125136637360141,0.07223261167089601,0.16215581795757295,0.17351452140974696,0.15404098826252355,0.1575775780947195,0.14551523412541467,0.1568277636940035,6,7,0.02697490565683988,0.16424038984622474
YDR326C,-0.03385923974425653,-0.04836640363025646,0.07532280421371207,0.04792240812334203,-0.07796790467148496,-0.08075208041551107,0.15706442245706645,0.1581625514911228,0.1485395789773495,0.15072430390656907,0.16037993390911295,0.16058691501208028,6,7,0.02427992650712015,0.1558201736204916
YMR148W,0.5692946998402337,0.5855834714529489,0.5022374720194487,0.37335290997555304,0.4554687387450551,0.37499613903650275,0.4028402898510553,0.3951493991809995,0.43306580336312367,0.485908286418443,0.45295410554846793,0.4852707802701997,7,9,0.38338818179794026,0.61918347991362
YGR211W,0.8250845183621396,0.77614286364882,0.7746004404410636,0.5693632705363474,0.8768018083895293,0.3608143240419537,0.1346178088816429,0.15229086878479112,0.15281462634654785,0.21122432287906728,0.11297713541590201,0.2573368077721094,7,9,0.10542167749352192,0.3246870454661256
YIL023C,0.6731130656160589,0.5192098844348052,0.6085877370752126,0.380061223408489,0.5272657158995289,0.5100363316739351,0.06426337979891103,0.07793679580316408,0.07032050735827972,0.08849916690879037,0.077281106460169,0.07867680590584071,7,8,0.012855314350795594,0.11338127866096587
YJL128C,0.8039955102057603,0.737339211282632,0.6906762271246301,0.5020326802721411,0.77439919900128,0.5216846321752611,0.02345420464414506,0.02715096827859882,0.029464179367121566,0.03738420257772412,0.025162745144507524,0.03663910594463106,8,9,0.002855804927114762,0.053439731727571035
YJR153W,0.8245494994395058,0.8204219132924551,0.7914441658307945,0.702761952605716,0.7516775403254841,0.6753969090601163,0.02655687579402667,0.026867443647864312,0.02895415188695557,0.03456621894277453,0.03159422286144931,0.036122350479140024,6,10,0.004090274843032508,0.063955256570766
YKL027W,0.7910736984492802,0.7849178168570721,0.7969438199815659,0.724853368425161,0.7852152149269056,0.3910312750891969,0.02103635010382057,0.021344011680688342,0.020738719507625507,0.02414103757963055,0.021329250198446965,0.035914624191510654,8,9,0.002155265622000755,0.046424838416528225
YBR132C,0.8045616693196977,0.7054699933090824,0.8032137070153672,0.6461877204707092,0.702164099957167,0.7328032441948227,0.0364465298937694,0.044742071391574934,0.03657200202534287,0.04903856619070347,0.04499246994605886,0.04261543277524925,6,9,0.006916012404066007,0.08316256612242078
