,linear,ridge,lasso,elastic_net,bayesian_ridge,quantile,quadratic,linear_gs,ridge_gs,lasso_gs,elastic_net_gs,bayesian_ridge_gs,quantile_gs,quadratic_gs
YBR133C,-46.741988436823355,0.8407813126423501,-0.12368808743185133,-0.12368808743185133,0.6120616922707497,-0.013480027331255195,-4.608906452332371,0.6958571253241107,0.5169065734042713,-0.12368808743185133,-0.12368808743185133,0.7016047755940433,-0.012059023555645254,-10.048071532913672
YJL076W,-8.267357626198475,0.6564510466732864,-0.013391318529436314,-0.013391318529436314,0.5395498337496687,-0.003156218745806516,-2.415527224309491,-0.16230371413177336,0.629768919445588,-0.013391318529436314,-0.013391318529436314,0.5465854854777413,-0.0032989500470612665,-2.86645643270634
YLL045C,-50.33610119661483,0.827276224854907,-0.01797335494150709,0.043087335062898746,0.5792412176596737,-0.1042267888567463,-3.7146709927672363,0.5483981713085508,0.7075735599172495,-0.10044709432326893,-0.10044709432326893,0.7155871148047337,-0.1042410415923316,-0.9315460117197063
YNL212W,-87.55241168497896,0.7578341054207482,-0.06342298282285741,-0.06342298282285741,0.7816015292019118,-3.205518264244988e+213,-0.9357146812515842,0.40320278059071646,0.3305452894525279,-0.06342298282285741,-0.06342298282285741,0.4466554187122418,-0.0038288972079656425,-37.141044169003116
YKL043W,-4.9306803001696125,0.15923325207108452,-0.053920880870399035,-0.053920880870399035,-0.26262489199595906,-0.002382530188756782,-23.790322723022236,-164.28041753479815,0.36586232147762,-0.053920880870399035,-0.053920880870399035,0.05960874795504234,-0.0025460376872583623,-37.38841802981527
YHR027C,-231.13529360354022,0.6273627224982427,-0.09507980713580144,-0.09507980713580144,-0.4682749926260932,-0.388970827352916,-0.8544912380956424,0.5660961692956328,0.4774644692898298,-0.09507980713580144,-0.09507980713580144,0.6166840701545173,-0.3878605581172978,-9.656870484341903
YDL160C,-41.81401057951775,0.49267517316814957,-0.1405194375747485,-0.1405194375747485,0.4833252260885802,-1.350287314258647,-4.750262385467697,0.4045330210417607,0.30501279027971784,-0.1405194375747485,-0.1405194375747485,0.35444858895712394,-8.76262522522999e+259,-7.10991132303818
YBR011C,-25.65235653816735,0.797715445150716,-0.05441987577712415,-0.051188487519766124,0.1488452977551663,-0.0133065353113897,-1.1550620778486373,0.07977661509174716,0.5012069674552162,-0.05441987577712415,-0.03760279115234688,0.522469433589389,-0.013423749187220668,-28.156435137853403
YMR049C,-84.10063554071064,0.1162575429968451,-0.08806190174595896,-0.08806190174595896,-0.3994854007977233,-0.04171043625294857,-1.4413733327706155,-0.8089897410980258,0.24480173006906436,-0.08806190174595896,-0.08806190174595896,0.28590133045817356,-0.04174509604630017,-5.4015694947593635
YFR004W,-491.08395356066296,0.5282557915238855,-0.19275719757321208,-0.19275719757321208,-0.1468938860481488,-0.4887634990937151,-1.300069180710382,0.506403179197408,0.536685030221029,-0.19275719757321208,-0.19275719757321208,0.6374310435997458,-0.48904159615367315,-3.7447673041504297
YMR299C,-32.49824617869632,0.7092240465180917,-0.22640465577651425,-0.22640465577651425,-0.44178756345036274,-0.298548924997486,-1.2373047707710976,-1.692124604540016,0.45200023816596213,-0.22640465577651425,-0.22640465577651425,0.23796864017310615,-0.3004403450396942,-30.805133789371013
YPL027W,-35.05273565029919,0.08462649426253188,-0.1693700238177298,-0.1693700238177298,-10.497263684601668,-0.17453336534979202,-0.6034986263680602,-17.774610266175944,0.04634229229019815,-0.1693700238177298,-0.1693700238177298,-15.586699726045484,-0.17439927366016006,-3.997762162079499
YOR371C,-28.08010882112482,0.7546437849101213,-0.0485733049743593,-0.0485733049743593,0.7432921494941529,-0.0013197604623058634,-7.732801380958351,0.6187750467008408,0.6684090850606531,-0.0485733049743593,-0.0485733049743593,0.72335396771094,-0.001290326827784849,-5.235758893889604
YGR084C,-22.593906504391196,0.6222197773642439,-0.0007161780216242697,-0.0007161780216242697,0.672831694940156,-0.044706078601060684,-2.918538398622877,0.4692229431793803,0.5266809438159139,-0.0007161780216242697,-0.0007161780216242697,0.6012221650077032,-0.04485017565403426,-48.5554085783551
YDR272W,-315.12564881607017,0.8028968311843394,-0.06389918782008275,-0.06389918782008275,0.6679232721069177,-inf,0.3309614992472423,0.4099294189095317,0.7023141632455813,-0.06389918782008275,-0.06389918782008275,0.7424980029788173,-0.018362496756409996,-46.4716597419663
YDR438W,-44.552102502484395,0.22038364242273312,-0.15801853575815805,-0.15801853575815805,-12.77737691586661,-0.1697962401881694,-0.5266165310023339,-23.623195663259242,0.3101065555027126,-0.15801853575815805,-0.15801853575815805,-22.70244860109124,-0.16980830790129198,-7.112257122421418
YJL138C,-4.266607025394072,0.7521143650119875,-0.29653390895549125,-0.29653390895549125,0.5402926641672328,-0.013316051737100487,-6.552209762039477,0.43227477722610774,0.7116067677287512,-0.29653390895549125,-0.29653390895549125,0.49637846870006275,-0.013345771440427479,-5.822496342519643
YDL033C,-25.1189806542107,0.7092619238061267,-0.03737969104033256,-0.03737969104033256,0.6584572038930046,-0.021370588191044426,-10.500950291937073,0.4298435139636021,0.6153376707747078,-0.03737969104033256,-0.03737969104033256,0.5693468173000824,-0.020699307900834407,-37.98909714267005
YJR019C,-194.52886442875683,0.48677516766299345,-0.00037318856760659713,-0.00037318856760659713,0.4279712829091269,-0.02549487072489054,-9.945496546625064,0.3834777652927557,0.6045656254870699,-0.00037318856760659713,-0.00037318856760659713,0.5511491934181538,-0.02585562768172811,-26.439530649674076
YKL155C,-100.88664580467062,0.7483326824334752,-0.029706266368441314,-0.029706266368441314,0.6322199962268558,-2.806794584446235e+220,-4.770972677853992,-3.2121220623824307,0.6521832318229288,-0.029706266368441314,-0.029706266368441314,0.08469717964796786,-0.01997781003763599,-136.2242610017783
YHL003C,0.00568289496383545,0.8565731090832998,-7.335730412449948e-06,-7.335730412449948e-06,0.6190575778890395,-2.1787499483283524e+265,-2.3050520520158,0.13433567207047536,0.8474777093478616,-7.335730412449948e-06,-7.335730412449948e-06,0.4360542040170121,-3.6350277174385317,-1.209347151614094
YNL020C,-13.435709792714288,0.7403500295403332,-0.07525266347455051,-0.07525266347455051,0.709791878432696,-0.009491433285073958,-1.6500589750997308,0.6418055436487647,0.6058878989645107,-0.07525266347455051,-0.07525266347455051,0.6415489267625315,-0.009445511972614451,-19.42618766641619
YOR007C,-75.94069775671268,0.6199156779344983,-0.0893393675012919,-0.0893393675012919,-1.7020565369261624,-0.1533032322729715,-0.8425197214475482,0.5417478820338639,0.44436994448959666,-0.0893393675012919,-0.0893393675012919,0.6288864110742849,-0.15328841494202083,-0.8211927277406386
YGR104C,-18.5085375545751,0.8461028902867471,-0.05973966506225881,-0.05973966506225881,0.7285848978561378,-0.06532343134418328,-7.9026869206822585,0.548784578038002,0.7195179399990198,-0.05973966506225881,-0.05973966506225881,0.7555534476392611,-0.0647864663487725,-8.244236969610084
YDL120W,-141.43657999518445,0.8678721592418203,-0.02912655198732539,-0.02912655198732539,0.7935905276560657,-0.024231819278679678,-2.1420155984662226,-0.01408876076589527,0.7411432947789268,-0.02912655198732539,-0.02912655198732539,0.6630930792404799,-0.02408266619106003,0.005112244302314162
YDR022C,-2.0065510269265037,0.7396121540736948,-0.03643793482332858,-0.03643793482332858,0.27309015741992726,-0.022008743756747107,-9.060785387331764,0.513187690838857,0.7371751257613526,-0.03643793482332858,-0.03643793482332858,0.5873742396798136,-0.02325639619306452,-116.60108772911526
YMR270C,-19.868908871150264,0.7730949292928736,-0.004903406414564326,-0.004903406414564326,0.5680517538744232,-0.0033659744438272465,-3.1350483517049206,0.7468975080880941,0.6144456874233695,-0.004903406414564326,-0.004903406414564326,0.7278735611216371,-0.0033379414383654105,-19.150839662075246
YGR046W,-73.31879998052798,0.7103881465895252,-0.14773554906533892,-0.14773554906533892,0.5112864992341082,-0.0257229782458952,-7.416700348775185,0.31384667678404476,0.6770890829677105,-0.14773554906533892,-0.14773554906533892,0.524345945360001,-0.025732752420611682,-15.00474509566817
YLR337C,-139.76985209377358,0.8024063245945867,-0.05392173490462193,-0.05392173490462193,0.8166381403900671,-0.01309041111874687,-10.456956729228805,0.5998747378042505,0.6824542853094131,-0.05392173490462193,-0.05392173490462193,0.6534770128457927,-0.013126655677957899,-6.338361163345487
YDR379C-A,-25.70718520232361,0.6757667613027389,-0.007056308313043491,0.11302937454213013,0.6756190477583037,-0.03443108548681928,-10.328208308971085,0.46368925546718587,0.4415717219149444,-0.007056308313043491,-0.007056308313043491,0.4602319097266915,-0.034531926594946416,-496.66777416285595
