,rf_score,linear_score,gs_rf_score,gs_linear_score,rf_with_linear_top_features_score,linear_with_rf_top_features_score
mtnX,0.5507053633073845,0.12356623455385696,0.24319647405268974,0.27488307334144657,0.46775432651055115,0.6324111165433788
yxiO,0.2731714224713877,-14.149328519144408,-0.5848127252890869,-0.3314994541471663,0.3655088584006012,0.28112553376619664
bioW,0.890666269009161,0.6796953027178213,0.0752835710625559,0.10752805788195152,0.8390362625002995,0.874119598090608
ywdJ,0.027806456968128335,-38.38790455320349,-2.7742723300360335,-0.3960310942442349,-0.014262453896459304,-0.14786114242673065
sunT,0.8417559003598554,-0.3051246898027298,0.7678268050945365,0.6321829601659209,0.7238778554551312,0.8671093661298191
yjzB,-2.679635785637266,-40.22859815495944,-6.317613603070039,-2.4754059919281697,-1.3318630834239262,-2.0470645479980827
gerKB,0.43021001638253786,-20.16885785507149,-0.5995681235616499,-0.4621276643863852,0.2405293986706306,0.2835208133592342
spoVID,0.8105372349291454,0.00699599714132948,-0.7015291600991207,-0.12541109014232488,0.8664108034385491,0.22804483167582834
skfB,0.19604344052378442,-15.670036051870522,-0.1665610863094067,0.0942088856474228,0.280021639761981,0.13679639249261
proA,0.16626495093852045,-16.494044663512298,-1.1115873068949225,-0.32836155417843726,0.21422989665946224,-0.5837828983229585
glcU,0.47512712295190873,-9.536406534956754,-0.990417639271316,-0.2985183229133157,0.3296835480421666,0.2338541225974332
ykuT,-0.23881372884963414,-41.08153213426854,-1.2264678392173787,-0.4430188095411798,-0.14512539785415113,-0.3140484297694952
appC,0.7194214769519075,-1.4932385742713654,0.23599743473202506,0.03116456617062069,0.839664395626578,0.7171406703630172
aprX,0.24454243139240794,-41.838465224736716,-0.9521234781650652,-0.26061234228031727,0.2700923420880055,-0.1358458192035299
acuA,0.5427901843195375,-0.01744068036471913,0.007575270135189105,0.22745666243178553,0.3138856519138947,0.3735923063636203
ydeH,0.7080084101711593,-3.409634116707265,-0.3484401898240619,-0.06993211447025982,0.705092089307539,0.6443277431782066
ydaE,-1.090187497448324,-132.6556289694736,-3.0490008539645146,-0.765590967879727,-0.7210757985425942,-1.4274058545566937
ynzD,0.44236810980864405,-3.538232452618052,-0.8137456287737994,-0.2670591290304223,0.3987003967294639,0.4547648850067373
spo0A,0.5341465805225666,-5.000639241621902,0.4432945924474455,0.443478256844807,0.23484378163936348,0.7507075441325447
xtmA,0.23957045226917395,-16.98963518385345,0.21194977518296776,-0.12825041374439317,0.41042262684816955,0.09461412138443892
spoVB,0.5688461638669673,-2.483639433554562,0.5329745692843348,0.38673054102098325,0.2147436621397285,0.5114858081572621
glpT,0.440583911559403,-11.811851060688586,0.4571637743308473,-0.13326932094841815,0.24584938493858288,0.26754564457099317
ywbI,0.04481320243528175,-22.77374584492159,-1.1298815929262034,0.09065967405384145,0.2441557980994704,-0.358500210516862
yotJ,0.2706086462917987,-26.255281720617955,-0.2147930829292617,0.08759586488748572,0.19109891486318298,-0.0554522710212606
albD,0.7833086699080405,0.02260250948335374,0.5428198558978728,-0.225117813206537,0.819641082042171,0.7213078483282993
trpD,-0.04657171935016713,-42.190225271438976,-1.7056715378333784,-0.26873965612952566,-0.23716316665912807,-0.8403875738937265
sspB,0.6998903635055058,-2.4202614078107776,0.34472540513381655,0.4695493781610428,0.654162756035791,0.6661254101144258
pucD,-1.1081516234571924,-31.70461387576455,-0.9769324983258196,-0.9448586550555425,-0.8686437508531519,-1.2826443926133075
cheC,-0.046975092055449474,-24.281768751705517,0.2813180448267415,-0.23533605614975173,-0.0731143678029087,0.08535689049485429
yetM,0.28215612392640155,-24.283355792258075,-1.1717094895865352,0.06604097863305536,0.3145758917085686,0.2920515481014374
