,rf_score,linear_score,gs_rf_score,gs_linear_score,rf_with_linear_top_features_score,linear_with_rf_top_features_score,rf_rmse,linear_rmse,gs_rf_rmse,gs_linear_rmse,rf_with_linear_top_features_rmse,linear_with_rf_top_features_rmse,rf_with_top_features_score,linear_with_top_features_score,rf_with_top_features_rmse,linear_with_top_features_rmse,rf_top_feature_num,linear_top_feature_num,rf_top_features_gs_overlap,linear_top_features_gs_overlap,rf_linear_top_features_overlap,gs_edge_num,test_var,test_std
DYNLL2,-0.015617580671712261,-1.7251357743091513,-0.18640285839943416,-0.055006791939524735,-0.012131696534752434,-0.1604295511181726,0.15763048710942362,0.2582076975526726,0.17036924733995273,0.16065814210889165,0.15735973858675567,0.16849402408787317,-0.03624274835344221,-0.11016003268214769,0.1592230228609894,0.16480406005680034,15.0,17.0,0.0,0.0,0.0,5.0,0.024725550908749706,0.15724360371331392
TIGD2,-0.0865292979349459,-0.7916190079504917,-0.45736044596429504,-0.027949024003719458,-0.14144501935600595,-0.17523141888826532,0.2836275176516977,0.3642088326708329,0.32848166423758685,0.2758756900791332,0.2907067674536411,0.2949778052558598,-0.07007676514703354,-0.1387365281950399,0.28147194254767044,0.2903616591322959,12.0,18.0,0.0,0.0,0.0,1.0,0.07482574304122556,0.2735429455153716
BC026585,-0.1267691215167619,-7.08345571041966,-0.19540774979466646,-0.003026111549532473,-0.30870488980280575,-0.5732421568303969,0.39996312875993983,1.0712751236666707,0.41196519123419645,0.37736238505605807,0.43104573385690953,0.47260713752986794,-0.49863238915179475,-0.5078164526665303,0.46126451519243145,0.4626757392350132,12.0,11.0,0.0,0.0,1.0,3.0,0.14348309263752268,0.3787916216569774
U2AF1L4,-0.06288729944279425,-3.8917801153080758,-0.9298618850287788,-0.026287299652048013,-0.1646137071138103,-1.0883464110382413,0.560876486495437,1.2032533747201033,0.7557649366289405,0.5511351397033822,0.5871033701726431,0.7861852559990371,-0.27135902628449005,-1.2388935084512402,0.613419715328668,0.8140298739712272,8.0,16.0,0.0,0.0,5.0,2.0,0.2991183118839568,0.5469170978164395
PSMC5,-0.08217670021805623,-0.9069178882163513,-0.17392742884278545,-0.015145905774883728,-0.19385033652282835,-0.3165970580493507,1.0180372978319114,1.351389674629961,1.0603157805189276,0.9860043561928924,1.069275320239345,1.1228998921837783,-0.23791818084351868,-0.40114506433525565,1.0888312344174582,1.158393603180291,13.0,15.0,0.0,0.0,3.0,3.0,0.9678876572005927,0.9838128161396317
SNX18,-0.049481171747495,-2.2043447371893703,-0.09180320668380881,-0.1166757940772456,-0.05398176979546787,-0.563953670626762,0.3566482730721606,0.6231927844890977,0.36376841054640074,0.3678886173636133,0.3574121806977588,0.43537625721452966,-0.18892543953114682,-0.1844740457744849,0.3796034139626401,0.3788921208831612,15.0,13.0,0.0,0.0,0.0,6.0,0.12249020207287513,0.34998600268135743
HSPD1,-0.04880177185540191,-1.8657690179431867,-0.12637080255566446,-0.10423949398055021,-0.20153074280113925,-0.27570693505833455,0.6256547633949123,1.0342097810283142,0.6483787030195144,0.6419773225901294,0.669661749089455,0.6900229053977538,-0.07213509419526609,-0.41223332890783304,0.6325761376342854,0.7260077847891938,15.0,16.0,0.0,1.0,1.0,9.0,0.37720014420466363,0.614166218710101
CDC42EP3,-0.02358930737397924,-1.845290041869692,-0.10427370209171838,0.003970120670904631,-0.16228718528079367,-0.21266930831044317,0.25221361280822585,0.42050283186058013,0.261965450458184,0.24879510779794425,0.26875860469214985,0.2745218051399013,-0.14850652270147435,-0.46336547165557196,0.26716058511037244,0.30156577724821815,13.0,16.0,0.0,0.0,2.0,3.0,0.06280685652380776,0.2506129616037601
HEMK1,-0.036531996083503326,-1.3920462402700058,-0.6895539677951326,0.00940359553594261,-0.2892731668159325,-0.18920404376965183,0.5158702848227588,0.7836712986823005,0.6586204181738026,0.5043099416989397,0.5753361038690686,0.5525573303044489,-0.07482872189796419,-0.9327184895896672,0.5253137731478722,0.7044228850660273,13.0,16.0,0.0,0.0,2.0,1.0,0.2594741295874992,0.5093860319909638
SMC3,-0.03925353683472288,-1.3795659351061533,-0.3044041514418758,-0.01888561605213135,-0.07354303708844756,-0.5577788564193216,0.22027320549129514,0.3333111083914941,0.24677831947349113,0.2181040006491303,0.22387760176735727,0.2696831539975512,-0.11221201728880081,-0.2961986916488486,0.2278739643532101,0.24600090546130773,14.0,13.0,0.0,0.0,3.0,7.0,0.04718430735588676,0.21721949119700737
CGNL1,-0.800306304154937,-6.827363372581821,-3.9141041390325713,-0.30178953438136924,-0.38011960025919067,-0.714468372605785,0.1995880433873744,0.4161683680000216,0.32974900778743904,0.16971948584588767,0.17475100473403504,0.19477179133599093,-0.6610335888757508,-2.0628458863340655,0.19171254252010553,0.26032980436385944,12.0,16.0,0.0,0.0,1.0,1.0,0.022362398933850527,0.1495406263657155
HIST1H2AP,-0.04840253645803494,-1.7891186573380842,-0.22450949262459652,-0.1030872657173374,-0.13312298616328655,-0.19296456688548203,0.15430047527671556,0.251673058913448,0.16675709097454766,0.158273485972852,0.16041381117465928,0.16459513883019716,0.014074813574725287,-0.7066699642615175,0.14963225223591428,0.19686930357651786,13.0,15.0,0.0,1.0,1.0,8.0,0.022951031882036885,0.15149597975536144
KDM4C,-0.11043513707208419,-2.614538740832737,-0.24613870107577607,-0.15377281971428425,-0.272308123828261,-0.25027834894973644,0.2942080003378483,0.5308041655846153,0.3116671807272429,0.29989417639455934,0.3149227466564731,0.31218442758696197,-0.13189856550656875,-1.0577850823524413,0.2970377422614721,0.40050494968505695,12.0,16.0,0.0,1.0,0.0,5.0,0.07877919027049246,0.280676308708969
ZSWIM6,-0.08447309937791836,-1.9475406444866556,-0.13106500315808,-0.022066760991628076,-0.27050737475445286,-0.19813235731074008,0.334613854966253,0.5516510240135221,0.3417262257025069,0.3248434840626259,0.3621788810262476,0.35171178929955443,-0.3244798695875275,-0.1864634155790803,0.36979174196890635,0.3499948896343308,13.0,16.0,0.0,0.0,1.0,4.0,0.10434335739163875,0.323022224299875
SEL1L,-0.0651978359137042,-1.2339101136475827,-0.5781588647162832,0.018284580003295248,-0.12871085764963563,-0.30285805619975914,0.41036385360852623,0.5942741081317355,0.49949290228607574,0.3939551371949444,0.42242081794242664,0.45383973101896746,-0.23302441152435427,-0.32681084467990074,0.4415092422360684,0.4579926074835431,13.0,15.0,0.0,0.0,1.0,1.0,0.1597731049888121,0.39971628061515346
SHFM1,-0.0037549823308831165,-1.569850079304696,-0.46397681102207144,-0.025694232401426875,-0.056702741993587935,-0.0845566301126075,1.2873984213067828,2.059932593226692,1.554770221756096,1.3013918180139337,1.320917008803317,1.3382129616420166,-0.013957931029642268,-0.16670395732802068,1.2939249390311123,1.3879679912357974,15.0,14.0,0.0,0.0,0.0,1.0,1.6687603878716566,1.2918050889633685
DUSP23,-0.20795229690295658,-3.9854777580945413,-1.8167592843841747,-0.4482241949842596,-0.1835569396623027,-2.5953822719520443,0.1951347241223808,0.39642684700331954,0.29797822856519085,0.21366213620513447,0.1931542395257057,0.33665277844247077,-4.6363786460662215,-3.0408257540514647,0.4215118099298375,0.3568985047942992,9.0,16.0,0.0,1.0,2.0,1.0,0.03185774892638887,0.17848739150536339
NDUFA1,-0.04872103006004269,-0.8978196031259733,-0.20902126056988712,-0.015348821260468215,-0.11598555286413315,-0.13027777438903132,1.4634519192783904,1.968683648667003,1.5713228970891915,1.4399788207541306,1.5096551617075686,1.5192913455174817,-0.0916328500551713,-0.218854490718982,1.4930926863731875,1.5776999106126839,16.0,15.0,0.0,0.0,0.0,1.0,2.0639192028565763,1.4366346796790672
TCP1,0.006514750209032805,-1.642423504427104,-0.13759159123669096,-0.02162058536466427,-0.08017759682364889,-0.10376580392027179,0.8803803712674325,1.4357897584815744,0.9420692448909815,0.8927594519689439,0.9179884608183736,0.9279575439420275,-0.019419856625497278,-0.24297408038518564,0.8917973626028577,0.9847379508089609,16.0,16.0,0.0,0.0,1.0,3.0,0.7884515844944006,0.8879479627176361
EIF1AX,-0.16577125382841706,-1.4211204287745756,-0.14406469853964365,-0.07416513579677075,-0.21370977739645292,-0.15268386820045898,0.8875616426958788,1.2790868979066086,0.8792596568021659,0.851976038217762,0.9056268281722762,0.8825655310045079,-0.07125899649439038,-0.45459788016544933,0.8508227527936525,0.9914329064965678,17.0,15.0,0.0,1.0,2.0,9.0,0.6829351408495408,0.8263988993516029
VIM,-0.12270864640645884,-1.8363363968152835,-0.2697688868857915,-0.13049880614303921,-0.18819108638094906,-0.41156522573191134,1.3874563940381,2.2052847692670894,1.4755303596355214,1.3922616578262768,1.4273449869046102,1.5557373719427463,-0.22775554256496156,-0.4523643547666283,1.4509142988439938,1.5780603202561605,15.0,14.0,0.0,0.0,1.0,8.0,1.732875532703191,1.3163873034571516
BRD2,-0.04489759671116733,-1.5253078784782077,-0.20384763132730055,-0.15019502404344132,-0.1312137383801084,-0.22147239163597598,0.5921750749001818,0.9205988442541225,0.6356221453399281,0.621296633970016,0.6161487815108971,0.6402581068424473,-0.07448247392343843,-0.30532862004862804,0.6004998821699655,0.6618707497960958,12.0,15.0,1.0,1.0,3.0,10.0,0.3391737777930327,0.5823862788502427
MYCBP,-0.041041618963347126,-0.22996077564516293,-0.28090371493399924,-0.049047854437632044,-0.05064458227653579,-0.11861265069768656,0.7328785260153796,0.7966060151497215,0.8129356947911373,0.735691266534521,0.7362509417040476,0.7596924562412417,-0.08326869925590685,-0.11577401318096925,0.7475944142696047,0.7587279305204089,13.0,17.0,0.0,0.0,2.0,1.0,0.5214247635366127,0.7220974750936419
KDELR1,-0.013754879539896736,-0.6167013362768445,-0.13108490559429264,-0.020237276224839285,-0.016259198849489565,-0.1689179058637893,0.4705837112749707,0.5942720574647147,0.49707052921145833,0.47208587383082073,0.47116460364716173,0.5053152642630286,-0.06097866223970083,-0.07872661890360555,0.4814195654533368,0.48542943763386043,14.0,16.0,0.0,0.0,2.0,6.0,0.22076822964967577,0.4698597978649331
NCOA2,-0.04626789522030417,-0.4531330981677999,-0.3599454178778403,-0.06811769981742244,-0.09692821375260241,-0.13811720164992103,0.3777906337995261,0.4452279647247946,0.4307154754905776,0.38171505848152043,0.3868288356881917,0.3940245037783475,-0.1261782283310413,-0.28555153421933865,0.391952375273058,0.4187689591961804,13.0,15.0,0.0,0.0,2.0,2.0,0.1378653811574562,0.3713022773394424
SART3,-0.09136452918807625,-0.3791401879917866,-0.1629756493727832,-0.054915318325947204,-0.10094123355416573,-0.24424911049301845,0.3331531045568153,0.3745097722299065,0.3439095676436276,0.3275425658338086,0.33461161822604624,0.3557235492789375,-0.14863253511386465,-0.08819793995050951,0.3417822497848814,0.3326694323469261,16.0,15.0,0.0,0.0,1.0,3.0,0.10278119116030451,0.3205950579162201
TAF7,-0.037629772348148016,-1.767004004115551,-0.2546883125488255,-0.07120295370773766,-0.025278673395654705,-0.06645641938208624,0.33348020856237987,0.544570041900708,0.36670495522768953,0.33883224479893415,0.33148952869312176,0.3380807231489981,-0.11500501087685411,-0.18709584879360097,0.3456903544016108,0.3566906665738725,12.0,17.0,0.0,1.0,1.0,9.0,0.10831621016730911,0.3291142813177652
ING5,-0.0068515881971122905,-0.412864086719092,-0.09298716545936103,-0.013348235440304501,-0.10238750062655488,-0.06823128095676667,0.3383579928568911,0.40081494209146723,0.3525341889205793,0.33944785456844256,0.35404694435668405,0.34851891710181554,-0.03275194958138061,-0.20978457470610024,0.34268233862965186,0.3708922270350487,13.0,16.0,0.0,0.0,0.0,2.0,0.11491670694453372,0.33899366800064823
ALG9,-0.0627234531031069,-1.330978328497455,-0.1627649716841455,0.04855950143185073,-0.21504052318906663,-0.6081010271914038,0.33523131295943037,0.49648206362561514,0.3506553065414192,0.3171942180378613,0.3584510250860348,0.4123738430884186,-0.1995047552049336,-0.4443837733070488,0.35615203687150293,0.3908190690223311,13.0,17.0,0.0,0.0,2.0,3.0,0.10687217368246703,0.32691309805889857
