,rf_score,linear_score,gs_rf_score,gs_linear_score,rf_with_linear_top_features_score,linear_with_rf_top_features_score,rf_rmse,linear_rmse,gs_rf_rmse,gs_linear_rmse,rf_with_linear_top_features_rmse,linear_with_rf_top_features_rmse,rf_with_top_features_score,linear_with_top_features_score,rf_with_top_features_rmse,linear_with_top_features_rmse,rf_top_feature_num,linear_top_feature_num,rf_top_features_gs_overlap,linear_top_features_gs_overlap,rf_linear_top_features_overlap,gs_edge_num,test_var,test_std
YBR085W,0.8270758212772049,0.8084662221825372,0.8654666353022497,0.7440801483648525,0.7740514376861991,0.5648047069509171,0.027049359148405075,0.02846766239705773,0.023858554148547678,0.03290645565438721,0.030919603108467687,0.042911254792650164,0.7967313252405496,0.6698328687582451,0.029326777705983003,0.037376276812956515,7.0,10.0,3.0,1.0,1.0,44.0,0.004305378886651415,0.06561538605122594
YGR027C,0.8736358401866328,0.8661896725195467,0.8529011642206547,0.6266764637754918,0.8151114801544622,0.7952930889397851,0.9476388205758639,0.9751596061118366,1.0224345206566194,1.62882179511404,1.1462671838833443,1.2061383850456153,0.8299524596953081,0.364129635446247,1.0992995840926598,2.125764640515997,6.0,10.0,3.0,4.0,2.0,44.0,7.231275551347042,2.689103112814204
YJL097W,0.6353646949007321,0.597689196405265,0.6336966256116597,0.2585869033839816,0.6353942882383332,0.33888275500173304,0.02910895016251933,0.030575814303662983,0.029175455436027006,0.04150757020832677,0.029107768915865206,0.039195519714961595,0.7036847694320757,0.264177527238288,0.026240624819617184,0.0413507802085987,7.0,10.0,1.0,2.0,0.0,28.0,0.0023645445827335226,0.04862658308717077
YKL119C,0.8081118431546882,0.7838532425741224,0.8080531349316626,0.747985076885276,0.769119281310455,0.7002987654343912,0.025403837511966773,0.026961844707646412,0.025407723369556167,0.02911309447894725,0.027865643291266468,0.031748229171354926,0.7336562435703802,0.5831595653097899,0.02992929596170188,0.0374420967058369,7.0,10.0,2.0,1.0,0.0,42.0,0.003422186069105631,0.058499453579547486
YKR025W,0.7597890337460368,0.7455173891498854,0.7610219937687719,0.5944726617877286,0.6476092059001777,0.5542211670748751,0.02515848585261516,0.02589507305595936,0.02509383577746104,0.03268873792261449,0.030471958058530754,0.03427265949344444,0.65322165954773,0.4524006350490153,0.030228323871751454,0.03798564915192223,7.0,9.0,3.0,1.0,0.0,31.0,0.0026812005965468604,0.05178031089658366
YBR080C,0.800722399981908,0.7645266636915988,0.6967493816262692,0.24205567342733236,0.8061594969358338,0.5733963187472074,0.02928971786658172,0.031838809088706926,0.03613156673553615,0.057122157126994796,0.028887383723715347,0.04285467892563821,0.746527207429688,0.6685113492655768,0.033033274103601525,0.037776374766219076,7.0,8.0,1.0,2.0,2.0,14.0,0.004380513574004046,0.06618544835539036
YER042W,0.8551171417710625,0.8775759531665641,0.8345732599113485,0.7539891014761413,0.7287517806117417,0.8781361246386097,0.12449513345654199,0.11443983902431511,0.13302912310866563,0.16222621897333497,0.17034418804652432,0.114177719633461,0.45787039027684806,0.8780367837766253,0.24082159947154386,0.11422424778813955,5.0,7.0,1.0,3.0,3.0,41.0,0.10885312036895732,0.32992896261007054
YML123C,0.5163033421811858,0.6709183736173169,0.4640735486885216,0.5654218851817248,0.6347673768607085,0.2952726231747653,0.3692994925806089,0.30460987972362286,0.3887270513042918,0.35004678518347876,0.3209053435967062,0.4457616878339063,0.452359362199523,0.3859375541304101,0.39295245050171446,0.41610069070328426,8.0,9.0,2.0,4.0,4.0,87.0,0.28690457472698433,0.53563474002998
YDR345C,0.7674309443315642,0.4051269594861473,0.7596995952457044,0.4737709959278402,0.7963310511147742,0.6480037196766404,0.1002123143396461,0.16027185772638314,0.10186438756349725,0.15074139080647567,0.09377941911065064,0.12328611416783275,0.7093788876828006,0.3139867775563041,0.11202338913581887,0.17211208689130583,7.0,8.0,2.0,3.0,1.0,66.0,0.043938314432484506,0.20961468086106114
YLR304C,0.36601837022659667,-0.018774427045446407,0.32295492720312946,-0.1452838042783704,0.581488556269411,0.14019202387697205,0.3744926618317236,0.4747270653423366,0.3870024960359132,0.5033401043387418,0.30426965639306597,0.43611970530206773,0.11371733706896847,0.26097939279069415,0.4427831668780845,0.4043274710994185,7.0,8.0,4.0,4.0,3.0,77.0,0.22509356949886433,0.47444026968509356
