,rf_score,linear_score,gs_rf_score,gs_linear_score,rf_with_linear_top_features_score,linear_with_rf_top_features_score,rf_rmse,linear_rmse,gs_rf_rmse,gs_linear_rmse,rf_with_linear_top_features_rmse,linear_with_rf_top_features_rmse,rf_with_top_features_score,linear_with_top_features_score,rf_with_top_features_rmse,linear_with_top_features_rmse,rf_top_feature_num,linear_top_feature_num,rf_top_features_gs_overlap,linear_top_features_gs_overlap,rf_linear_top_features_overlap,gs_edge_num,test_var,test_std
Arhgap22,0.9552512220850247,0.8894821232959293,0.9576880727800654,0.667051572943222,0.9522763407061483,0.7312797560463528,0.0064407829008096655,0.010121953487407558,0.006262957642727487,0.017568575719780988,0.00665142868890819,0.01578331643237825,0.9499313556078568,0.502212863718192,0.006812883891479074,0.02148176225225964,8.0,19.0,0.0,0.0,0.0,8.0,0.0009347603151226727,0.03057385018480127
Aimp2,0.8540217168357755,0.7631997280826005,0.8558837883521898,0.641085174782846,0.8701801516308406,0.677411589563431,0.009245411671957804,0.011775333780635071,0.009186256056084205,0.014496989580521195,0.008718718919224207,0.013743789923636396,0.8164222230779171,0.7726387832940101,0.01036793297993567,0.011538259982397126,8.0,17.0,0.0,0.0,0.0,12.0,0.0005904299513410748,0.024298764399472553
Smagp,0.8368418560079212,0.6504597104534744,0.4565998235388611,0.10833778767079039,0.8754630758931405,0.6095059476083509,0.011071319124979929,0.016204797633670942,0.020204815016054926,0.025881841432753537,0.009672618491076514,0.01712782444213381,0.8361811025927841,0.5751824162426076,0.011093714637282797,0.017864720805157386,8.0,12.0,0.0,0.0,0.0,2.0,0.0007575200050461862,0.027523081314529196
Arg1,0.1983034053103362,0.3779355662893499,0.17638653458612286,-0.3024879372501139,0.21063162466631735,0.0697291811438846,0.9376255347285999,0.8259278154047345,0.9503555731719117,1.195119304823754,0.9303883598947009,1.0100179816495165,0.26891547417499473,0.40837636939547417,0.8953816765465393,0.8054659071723504,9.0,14.0,0.0,0.0,0.0,1.0,1.1057397893522336,1.0515416251163021
Sec24d,0.845949349410176,0.8242350455920736,0.8531180373090496,0.4741767902536833,0.8709458987087899,0.6455148479937822,0.012829342126731286,0.01370372899328052,0.012527281945974541,0.023702409355784503,0.011742444707465301,0.01946129083692314,0.816639063216999,0.8157042020803683,0.013996712047099735,0.014032347625706433,8.0,17.0,0.0,0.0,0.0,4.0,0.001077331507078951,0.03282272851362225
Lad1,0.07957582625585846,0.1771706749000429,0.027685610271095062,0.021180364943750307,0.10849345730185933,0.08753157650672183,0.12538486709326796,0.11855121147999191,0.12887078451390238,0.12930116923934884,0.12339949521878052,0.1248418046448489,0.10558847001778005,0.07125322163918069,0.12360038124650433,0.12595046520294684,10.0,13.0,0.0,0.0,3.0,3.0,0.01722290300747404,0.13123605833563443
Cish,-0.5491203351956313,-0.5583517202855666,-2.3062150543890754,-2.3684579482939987,-1.09984664534683,-2.440957520915494,0.15313265302105283,0.15358824278997224,0.22371277182198335,0.2258087643578319,0.17828672963183836,0.22822587714263293,-1.0795906910722621,-2.423440059061605,0.1774247335226974,0.22764420193887105,8.0,11.0,0.0,0.0,1.0,8.0,0.015263515877947616,0.12354560242253715
Zbtb10,0.8823787915134992,0.9016131786276923,0.8562038027551998,0.4321935840250536,0.9588128628290903,0.7824529528109894,0.01037350601942675,0.009487487344944125,0.01146981584871995,0.022792023943654666,0.00613851819916316,0.014107801523479834,0.889695602694121,0.8795933604157715,0.010045675787424201,0.010495616718073197,10.0,21.0,0.0,0.0,0.0,3.0,0.0009225068797038286,0.030372798351548522
Pcna,0.4437028338659429,0.01556077962654856,0.38195268308982544,0.40700905695143985,0.3576091255445615,0.35094381278291953,0.11346661568648199,0.1509416634019381,0.11959844704034721,0.11714903295424993,0.12193106277865913,0.12256199594078893,0.41436257541555854,0.2984130865299657,0.11642040045946239,0.12742522748926674,7.0,13.0,0.0,0.0,1.0,41.0,0.02333637955804948,0.1527624939507387
Tceal1,0.8646180245643675,0.8753743485082944,0.8666279474046884,0.08852694919912962,0.9219165434604973,0.7590895145315342,0.010565197869842164,0.010136801274808595,0.010486477496590568,0.02741379292823796,0.008023737770543223,0.014093701307146489,0.8604806139886526,0.8124550834597715,0.010725424495548943,0.012435116552143917,9.0,19.0,0.0,0.0,0.0,4.0,0.000831378037711321,0.02883362685669843
Prps1,0.9694587867689147,0.9394990108020848,0.9400236111897314,0.25321068920347245,0.9661463399679532,0.72829559390999,0.005885350537672135,0.008283434264872812,0.008247443499910006,0.029102362026101468,0.006196293869414258,0.01755405816364551,0.9379593955996586,0.8537459173081561,0.008388169591958424,0.01287903108897646,8.0,19.0,0.0,0.0,0.0,4.0,0.0011435693558823714,0.0338167023212254
Fut8,0.9490801760170332,0.8988752324601189,0.9324752062045619,0.5654189923123367,0.9479581577017155,0.7221315956618188,0.00698788334450463,0.009847612876882938,0.008046996875897796,0.020414444684776555,0.0070644528449476315,0.016323819463940965,0.9516762403542478,0.09149172936743455,0.006807420171120528,0.029516621214397996,8.0,21.0,0.0,0.0,0.0,4.0,0.0009669600311235506,0.031095980948083156
Atxn2l,0.7744887368461696,0.7461655032909469,0.24999481937207713,0.03885490398565494,0.7303264929410095,0.7218381899765212,0.027047987991603968,0.028696317438910473,0.049326804043302,0.055839988909826735,0.029578080576471894,0.030039977150585612,0.7897676666979292,0.6579915059855828,0.02611563567506065,0.033309590395422285,8.0,12.0,0.0,0.0,2.0,2.0,0.0032711903514875008,0.05719432097234393
Abl2,0.36586419659797165,0.37893797587285594,0.3514463285202095,0.2318350575590562,0.3737277028657028,0.25330327636433714,0.041925667643670894,0.041491232649358875,0.04239960505642748,0.04614409062026345,0.0416649102630409,0.0454947175398986,0.37159990579895696,0.37411886290122487,0.0417356297405742,0.04165189659992414,8.0,20.0,0.0,0.0,1.0,4.0,0.0027950000792473987,0.05286776030103223
Ywhaz,0.4297670927377252,0.4699020885622299,0.7672188784954963,0.5966963206157692,0.4367203224588686,0.6759740333113566,0.10747908119815694,0.10362769867807461,0.0686707333226184,0.09038864981223914,0.10682178933390905,0.08101915596974933,0.4668268974076859,0.32907679427948244,0.10392784525365013,0.11658272808127423,7.0,11.0,0.0,0.0,0.0,11.0,0.02042677185815688,0.1429222580921421
Malat1,0.5782499457184758,0.6275063829182967,0.17448943814253148,0.12964751905454952,0.6276749126571293,0.6070092490174217,0.5532480148131234,0.5199381783879428,0.7740225399276205,0.7947670919939938,0.5198205455550151,0.5340518887748551,0.5555085343357938,0.6476571902683417,0.5679681783320663,0.5056790917721197,9.0,12.0,0.0,0.0,1.0,4.0,0.7317937661827382,0.8554494527339054
Srsf4,0.9181821905591764,0.8474671863681238,0.877381856495292,0.5219300398441439,0.9042826321990608,0.7761118552745541,0.009268433588501919,0.012655055649017302,0.011346444333281308,0.022404133211775305,0.01002484790102966,0.01533197023064902,0.9242175600388526,0.8278351316365093,0.008920038125718345,0.01344481051940301,10.0,20.0,0.0,0.0,0.0,3.0,0.0010586903668814386,0.032537522445346675
Eif4a1,0.12236654932656699,0.1236233431056033,0.1501461394253235,-0.009040063467331994,0.09750459833314007,0.06270452550788652,0.6026676664414161,0.6022359940090212,0.5930528997553204,0.6462127357524577,0.6111443581113637,0.6228157233038941,0.15061404768572673,0.11068869350621124,0.5928896172373456,0.6066639868833489,8.0,14.0,0.0,0.0,0.0,12.0,0.4172984198141442,0.6459863929016959
Kdm4b,0.8110976642276384,0.8102606196486469,0.7317663962308188,0.5445421935851869,0.8794084999523328,0.6436688860425642,0.013821937059173705,0.01385252638268926,0.016470502118134455,0.02146220417389668,0.011043547302246676,0.01898353641752756,0.802835191216257,0.5850645200873398,0.014120983577613598,0.020485215303364303,10.0,21.0,0.0,1.0,0.0,9.0,0.0010197756042243835,0.03193392559996944
Pdlim2,0.9231823637610868,0.8265855419310926,0.9123439539403642,0.4189138242058983,0.9328903095077284,0.7087912601557679,0.008446627252345103,0.01269099027029675,0.009022851257666591,0.023231279579750058,0.00789487898791717,0.016445802185172793,0.9068681602941087,0.7612015750197783,0.009300406920103399,0.014892533601165402,8.0,20.0,0.0,0.0,0.0,3.0,0.0009365044460512876,0.03060236013857898
Zdhhc12,0.2852512907603032,-0.13023288180245962,-0.056893950829671525,-0.06510954777538003,0.23291556551086967,0.21756965453894317,0.021903818583115242,0.027544006548281718,0.02663537711091946,0.026738699642072667,0.02269157960562091,0.022917433864158215,0.11890783450671505,0.16665100566663382,0.024319453631682576,0.023651386312844865,9.0,11.0,0.0,0.0,1.0,2.0,0.000676846850050256,0.026016280480696236
Gtf2a1,0.9209049388746698,0.9111777861239937,0.9167935395441511,0.8695114309822508,0.932093837643161,0.6025697094970098,0.009652799927884058,0.010229146971498303,0.009900500399477022,0.012398377516419914,0.008944029345260507,0.02163760078678282,0.9312459391846108,0.7873856632481389,0.008999695150606675,0.015826136045636176,9.0,15.0,0.0,0.0,0.0,34.0,0.0011878493591310723,0.03446519054250349
Rhob,0.35873741381238156,-0.11338196263372513,0.2457996084923375,0.21451057256987205,0.30332244812733433,0.3255626310057974,0.26699871877788106,0.3518141613760467,0.2895573564465579,0.2955026624635371,0.2782961093285262,0.27381802839368397,0.26290842855257823,0.1691970926690921,0.2862542536175587,0.3039066687511934,8.0,11.0,0.0,0.0,1.0,7.0,0.11209508659308275,0.3348060432445668
Trim8,0.7162739889578988,0.4299444096273001,0.5733769791102309,0.2233211072974033,0.6463689371638115,0.6252974497874596,0.02400035203649988,0.03401939926865052,0.02942999437812981,0.03970898509239076,0.026794350800060655,0.0275810858635535,0.5108360263946652,0.7104311135331172,0.03151340043215345,0.02424621678536312,9.0,11.0,0.0,0.0,1.0,4.0,0.0020471053625230403,0.04524494847519489
N6amt1,0.9717584583355104,0.8991707364643087,0.9432728881114251,0.5620635957489379,0.9523376715169146,0.7726137739181087,0.005102733965520583,0.009641664692118725,0.007231927488599036,0.02009390064404099,0.00662897458766201,0.014479074519562719,0.9316205894540468,0.8647470395642303,0.007940016460685933,0.011166886868015194,10.0,17.0,0.0,0.0,0.0,5.0,0.0009296545027230974,0.030490236186738493
