gene_name,gene_name_alt,8h_rep1,8h_rep2,8h_rep3,8h_rep4,12h_rep1,12h_rep2,12h_rep3,12h_rep4,16h_rep1,16h_rep2,16h_rep3,16h_rep4,20h_rep1,20h_rep2,20h_rep3,20h_rep4,24h_rep1,24h_rep2,24h_rep3,24h_rep4,28h_rep1,28h_rep2,28h_rep3,28h_rep4,32h_rep1,32h_rep2,32h_rep3,32h_rep4
yknZ,BS3610_RS08765,133.3086,91.5941,88.0422,105.9005,144.8383,168.4043,184.9505,171.7351,271.8273,289.3153,205.8219,210.4431,160.771,237.277,144.9752,201.5213,182.1226,270.6054,225.1301,296.9514,166.9087,280.2518,306.7174,184.2095,279.541,201.458,175.5933,204.8712
ykoA,BS3610_RS08790,152.4305,152.944,135.28,147.3516,163.0595,136.7023,149.0302,138.9449,104.572,127.8333,118.4494,77.8311,105.3921,154.1438,109.424,130.4345,146.7658,136.545,154.8673,142.1868,115.946,110.9335,116.6992,112.4043,96.7089,83.9618,83.1395,86.856
ykoG,BS3610_RS08145,27.7883,26.7518,26.2592,24.9419,20.2857,16.4385,16.7345,20.3505,19.1792,18.7336,26.9513,27.6285,50.9268,20.0719,49.3456,24.2499,27.5491,19.999,16.9759,19.2694,93.0757,21.1179,18.5067,52.8627,23.9615,60.7064,76.2415,53.2848
ykoH,BS3610_RS08150,20.3429,22.2739,20.5585,20.3448,18.0991,15.1343,15.0902,15.5342,16.5477,15.6429,18.6732,21.8512,33.3207,15.796,34.1314,15.7582,23.3978,14.2594,16.6711,16.487,60.0197,17.8286,22.4759,32.976,19.753,35.1173,52.0227,34.7797
ykoI,BS3610_RS08155,26.2128,22.9894,18.3145,21.9803,15.3484,18.6057,12.6615,15.7395,22.9019,16.7511,28.248,26.2128,38.3604,19.8805,39.7686,17.9606,26.9233,16.1402,18.7963,23.003,66.7051,27.489,20.699,37.5553,20.0049,37.8628,61.8322,34.7163
ykoJ,BS3610_RS08160,72.9772,72.9779,62.5171,66.4196,44.4539,56.9145,54.1589,52.6892,50.8446,53.0263,47.811,54.1779,80.4763,77.7072,82.6956,64.1279,97.229,177.2094,164.1272,127.7359,250.8484,623.0888,406.7771,191.4396,146.6125,197.0015,170.4547,177.28
ykoL,BS3610_RS08195,16.2576,18.5979,4.8681,23.6777,15.5771,7.5258,10.4705,5.0932,16.1634,9.5902,13.14,11.1129,58.6299,84.9419,22.7679,51.8563,24.7782,62.5652,51.2943,267.6552,82.2582,787.6735,919.7993,63.3555,124.0742,285.5814,88.9922,207.3293
ykoM,BS3610_RS08200,236.6596,225.9127,231.3943,211.876,388.0337,401.8395,431.8489,440.3043,600.0767,676.1688,553.269,456.3245,256.4684,367.3908,239.3992,423.1336,389.1755,405.4386,410.6671,540.1252,202.1286,384.9357,622.1831,257.9656,1715.8192,427.7581,602.4282,810.9223
ykoN,BS3610_RS08205,1.7678,1.82,3.3745,4.3885,4.5167,4.9099,2.5616,2.9075,9.5864,6.7781,18.8597,19.7364,30.1431,9.1616,45.5746,12.0289,18.6254,7.9595,7.0986,7.4725,87.6224,11.6792,13.795,47.26,11.1302,53.5193,78.1967,39.9332
ykoP,BS3610_RS08210,0.4491,2.8773,1.2104,2.8544,4.0166,4.4909,3.0373,2.1106,7.3071,6.3587,12.1973,14.7366,27.0429,3.6336,27.1044,4.9664,16.0719,8.7115,4.6378,6.7949,51.1621,9.3261,19.5278,28.7257,6.6842,40.1278,47.5767,33.1582
ykoQ,BS3610_RS08215,13.1131,13.6751,15.067,14.5354,12.0772,9.8252,13.8464,9.7447,11.907,8.2749,15.6758,22.2348,30.4108,12.6437,47.0557,16.8602,18.9146,8.1681,11.8958,11.9409,69.6386,12.3764,15.2985,40.2659,12.5677,42.7838,62.6208,41.2744
ykoS,BS3610_RS08220,3.6568,3.0788,4.8617,4.4155,6.1665,5.6877,5.9348,5.2239,6.663,3.6239,13.3353,18.9301,23.3933,6.5083,35.7546,9.9531,17.563,5.6741,7.5518,6.5084,66.0964,13.6673,15.6541,32.9937,10.5491,45.0239,56.09,34.5324
ykoT,BS3610_RS08225,3.6676,2.2376,5.2714,4.4674,5.3101,2.9881,4.9603,5.0555,8.7512,4.0385,17.0742,18.0502,29.6732,8.1594,46.3197,10.8145,17.1095,6.549,10.6599,8.0508,83.0292,12.4616,11.1756,44.0545,8.397,51.0279,71.1881,51.3314
ykoV,BS3610_RS08235,10.9257,10.7679,10.5696,8.9019,8.5894,8.4034,7.3072,6.5823,12.4575,4.9576,16.8459,19.9152,30.5722,7.9322,37.2355,10.4845,18.0441,6.7273,9.321,10.4708,69.9941,15.3356,13.7416,38.3386,20.5248,53.7729,60.013,40.0708
ykoX,BS3610_RS08245,64.7743,51.4431,52.168,58.85,50.8867,49.2161,61.1369,50.0314,54.9104,54.0203,44.0484,47.8387,58.1361,56.4675,60.5699,50.3457,52.6912,40.2277,50.8252,45.0545,97.8107,41.1082,34.4454,53.7615,49.8602,68.337,88.7791,58.4002
ykoY,BS3610_RS08250,61.1247,49.66,51.5471,49.3007,45.8169,39.1513,42.1784,40.1545,38.5592,37.8962,42.6478,43.7711,89.4839,71.588,96.2423,97.0853,102.1698,119.2469,95.5323,103.7954,117.1283,75.0567,57.0169,119.2434,59.977,103.1776,106.3005,91.1329
ykpA,BS3610_RS08795,582.6258,565.7694,552.1955,567.6871,497.0561,505.0672,493.6356,480.3835,444.0239,507.1442,329.9489,302.1171,336.7177,521.8224,301.41,480.3642,379.3552,527.6753,489.6818,503.3951,239.1788,473.9121,507.8272,365.374,476.5303,305.5848,237.929,313.7719
ykpB,BS3610_RS08800,118.5275,118.1744,104.0323,119.2097,100.3686,101.1777,109.7767,119.0616,105.5549,104.2352,81.7357,80.2757,97.4411,136.6291,98.8471,106.1347,101.6005,124.0355,106.6688,107.6562,112.1807,97.7568,94.5555,111.7977,67.2205,88.8025,93.9503,79.2324
ykpC,BS3610_RS23785,66.1144,42.0176,31.3454,29.1785,18.7694,22.4437,31.935,27.6164,23.9022,26,28.4991,36.8233,53.5599,26.0002,42.0862,26.5555,23.3657,28.8356,23.1774,35.9553,89.7965,67.6001,77.7995,70.7263,98.8113,115.3673,106.5056,127.1064
ykqA,BS3610_RS08830,83.2376,85.6977,91.8641,86.1974,80.5128,87.5215,77.2529,96.6698,110.913,106.6187,104.0845,90.222,90.6131,101.9096,87.6543,96.8439,83.918,94.4509,98.9095,100.2644,82.2608,69.8634,68.2697,84.2282,91.8841,72.2083,76.7009,77.2697
