target_gene,minimal_set,disjoint_sets
fabF,nusA: gutR: rocR: mtrB,nusA: gutR: rocR: mtrB; fur: ccpA; glcR: ahrC; slrR: comA: deoR: ywbI: bkdR: hprT: salA: sigV: xre: yfhP: rsfA: lexA: gerE: ansR: comK: tilS: cysL; hutP: glcT: cymR: sigE: codY: resD: treR; csoR: dnaA: rok: ytrA: rpsB: sigL: sigW: fadR: rpmE: rplT: phoP: spo0A: yxdJ: sigY: alsR: zur: sacY: abh: ycbG: azlB: mntR: purR: mtlR: mhqR: cggR: glnL: iolR: sigX: fruR: sdpR: nsrR: sigM: sigD: licR: nrdR: gltC: nadR: mdxR: hrcA: walR: sigF: yrkP: malR: citT: sigO: frlR: lmrA: araR: padR: rsoA: bltR: licT: arsR: birA: adaA: sigA: ccpC: liaR: splA; abrB: acoR: aseR: bceR: bmrR: ccpN: citB: citR: cssR: ctsR: czrA: degU: desR: exuR: fnr: gabR: ganR: glnR: glpP: gltR: gmuR: gntR: hxlR: immR: kdgR: kipR: levR: manR: mgsR: mta: natR: nhaX: ohrR: perR: pucR: pyrR: rex: rplJ: rplL: rpsD: sacT: sigB: sigG: sigH: sigI: sinR: spoVT: tnrA: tyrZ: xpf: xylR: yclJ: ycnK: ydfI: yetL: yfiR: yfmP: ylaC: yodB: ywcC
smc,sigF: mdxR,sigF: mdxR; sigE: rsfA; codY: citT; bltR: sigO; sigV: yrkP; hprT: arsR; splA: gerE; purR: zur; sigA: adaA; tilS: hutP
sspD,spoVT: sigF: rsfA: ccpN,spoVT: sigF: rsfA: ccpN; purR: licT; salA: ccpA
yhcV,rok: abrB,rok: abrB
sufC,rsoA: sigY: ycnK: sigA,rsoA: sigY: ycnK: sigA; exuR: sigX: nusA: sigL: codY: sinR: citT: mdxR: yrkP: rex: sigE: sigV: dnaA: azlB: sigW: adaA: bltR: sigO
spoIIP,sigF: sacY: ccpA: rsoA: dnaA: hprT: bkdR: adaA: rsfA,sigF: sacY: ccpA: rsoA: dnaA: hprT: bkdR: adaA: rsfA; padR: sigM: sigD: mdxR: sigE: yfmP: slrR: sigY: glcT: sigO: citT: birA: bltR: ccpN: nusA: sigV: codY; sigH: sigL: cymR: liaR: hutP: gerE: ansR: malR: licR: tilS: treR: comA: lexA: nrdR: licT: gutR: yxdJ: iolR: cysL: gltC: yfhP: ahrC: yrkP: purR: deoR: comK: mhqR: zur: sigA: resD: arsR; sdpR: ylaC: mntR: hrcA: glpP: gabR: mta: sinR: cggR: frlR: rocR: walR: mtrB: glnL: salA: ycbG: xre: splA: fruR: mtlR: ywbI: lmrA: araR
yolC,sigM: sigO: lexA: padR: rsoA: cysL: licR: adaA: citT,sigM: sigO: lexA: padR: rsoA: cysL: licR: adaA: citT; bkdR: licT: gutR: ywbI: glnL: comK: bltR: arsR: walR: gltC: mhqR: gerE: purR: treR: sigD: ccpA: sigF; codY: glcT: mdxR: sigL: malR: rsfA: araR; mtlR: sigA: iolR: xre: fruR: liaR: sigY; slrR: sigV: nusA: cymR: lmrA: yfmP: deoR: yrkP: splA: yxdJ: hutP: sigE: comA; sacY: yfhP: hprT: ansR: ccpN: ycbG; abh: abrB: acoR: ahrC: alsR: aseR: azlB: bceR: birA: bmrR: ccpC: cggR: citB: citR: csoR: cssR: ctsR: czrA: degU: desR: dnaA: exuR: fadR: fnr: frlR: fur: gabR: ganR: glcR: glnR: glpP: gltR: gmuR: gntR: hrcA: hxlR: immR: kdgR: kipR: levR: manR: mgsR: mntR: mta: mtrB: nadR: natR: nhaX: nrdR: nsrR: ohrR: perR: phoP: pucR: pyrR: resD: rex: rocR: rok: rplJ: rplL: rplT: rpmE: rpsB: rpsD: sacT: salA: sdpR: sigB: sigG: sigH: sigI: sigW: sigX: sinR: spo0A: spoVT: tilS: tnrA: tyrZ: xpf: xylR: yclJ: ycnK: ydfI: yetL: yfiR: ylaC: yodB: ytrA: ywcC: zur
addA,mhqR: resD: licT: birA,mhqR: resD: licT: birA; yrkP: splA: glcT: lmrA: purR: comA: nusA: zur: rsoA; citT: ansR; sigY: rsfA; bltR: ywbI: ccpN: fruR
rpsH,glnR: rpsD,glnR: rpsD
spoVAD,splA: sigE: arsR: gerE,splA: sigE: arsR: gerE; bltR: sigF: rsoA: comK: mdxR: rsfA: slrR: yrkP: sigY; sigA: hprT: lexA: sigV: birA: sigO: yfmP: adaA; salA: purR: gltC: treR: bkdR: sigD: sacY: nusA: sigM: licR: yxdJ: mtlR: resD: citT: ccpA: walR; degU: zur: rpsB: perR: sigG: rok: sigX: rpmE: fur: rex: ctsR: sacT: rpsD: rplJ: glnR: sigH: sigW: exuR: spoVT: abrB: yetL: nsrR: cymR: mhqR: glnL: rocR: hrcA: sigL: ylaC: frlR: glcR: padR: malR: fruR: mtrB: licT: iolR: xre: gabR: deoR: cysL: ccpN: ywbI: nrdR: ycbG: hutP: glcT: dnaA: araR: ahrC: lmrA: codY: yfhP: tilS: comA: ansR: liaR
