Taf15
Pias1
Creb3l1
Myd88
Chd7
Sirt7
Pwp1
Sumo1
Nlrc5
Zbtb43
Srf
Ahctf1
Hsf1
Lyar
Ahdc1
Phf2
Zfp236
Zbtb7c
Mlst8
Meis3
Taf6l
Crkl
Sp2
Sri
Hmgb1
Zfp768
Rreb1
Nod1
Dmtf1
Safb
Dmap1
H1f0
Klf3
Dnmt3a
Rfx1
Nfrkb
Sugp1
Zfp787
Nfatc3
Uba1
Thrap3
Ciao1
Fcgr2b
Slc39a8
Zbtb8a
Tle1
Cry1
Itch
Cggbp1
Taf12
Kat5
Hnrnpu
Cmklr1
Ets1
Irf8
Trim33
Tcf7l2
Smo
Irf6
Plrg1
Mta3
Commd1
Terf2ip
Cnot8
Dbp
Ctnnbl1
Plagl2
Gtf3a
Chchd2
Thra
Ezh2
Wfs1
Kdm1a
Maea
Topors
Gtf2h1
E2f1
Gtf2f1
Btg2
Cactin
Fnip2
Hnf1b
Hoxa5
Jun
Rnf6
Trim11
Cd19
Mtf1
Fbp1
Tbx2
Stk4
Zfp553
Zfp516
Dido1
Foxp4
Smad7
Ctnnb1
Rmnd5b
Ttf1
Pias2
Orai1
Chuk
Neil2
Capn3
Camk2b
Tjp3
Ncoa3
Baz2a
Kat8
Cc2d1a
Tcf7l1
Ldb2
Zbtb20
Lhx2
Vps72
Hdac11
Sigirr
Hspa1a
Creb3l2
Smarce1
Trim21
Zfp513
Foxn3
Maf
Btf3l4
Tcf3
Mxd4
Sp3
Fhl2
Elk1
Hspa4
Cpne1
Ints12
Erf
Edem2
Ddx20
Ehmt1
Dact2
Ctcf
Ier2
Smad9
Dek
Ctbp2
Fbl
Polr2h
Zfp467
Cnksr3
Zfp865
Fli1
Zfp652
Tbp
Cdca7
Mcm3
Zbtb24
Des
Prkci
Cebpg
Ppara
Tfam
Med16
Hdac8
Atf4
Zbtb4
Enc1
Ppfibp2
Zfp647
Sp110
Mecp2
Sebox
Taf1a
Zfp426
Zfp296
Irf9
Notch3
Xrcc6
Ercc8
Hdac1
Rbbp8
Hlx
Nfxl1
E2f8
Mypop
E2f3
Zfat
Chd8
Pparg
Fzd4
Kdm4b
Morf4l1
Ptgis
Eif2ak4
Rnf25
Lbx2
Rwdd3
Ahr
Htt
Samd8
Prkaa1
Taf3
Nrf1
Tnks2
Spop
Zfhx2
Polr3a
Polr3f
Fem1b
Foxo1
Prnp
Cbx7
Psmd9
Zfp36l1
Sik1
Notch2
Smurf2
Glyr1
Traf6
Hlf
Zfp568
Smad5
Pou5f2
Btf3
Taf6
Pias4
Med27
Rps3
Cry2
L3mbtl2
Nr2c2
Usf1
Plcg2
Samd4
Naaa
Srrm1
Sp5
Exosc9
Sub1
Ctnnbip1
Cdk7
Zcchc14
Spen
Ptma
Gtf2e1
Nfkbia
Nr1h2
Pbx3
Hes1
Setd6
Trib2
Cnot2
Aatf
Drap1
Snapc3
Smad4
Pbx1
Zfp821
Ncoa5
Tec
Nolc1
Gata4
Klf10
Men1
Crem
Tox
Taf11
Timeless
Arap1
Irf1
Atxn7
Rptor
Polr2j
Cd5l
Brms1
Rbm39
Mta1
Csrnp1
Lmo2
Zfp110
Sox13
Brd7
Kpnb1
Sap18
Shank2
Srsf6
Nfatc2ip
Dr1
Ankra2
Snrpb
Zfp784
Stim1
Srsf3
Zfp12
Med8
Cited2
Nfkbil1
Rb1
Polr2i
Klf13
Rxrb
Hspb1
Brf2
Sbno2
Gatad2b
Lrrfip1
Taf10
Zfp526
Zscan26
Polr3d
Klf6
Smarcc2
Agap3
Armc8
Sfpq
Rbpj
Prkcd
Mybbp1a
Stat2
Gzf1
Zfp94
Pdcd11
Zbtb18
Myc
Srsf2
Sik2
Atf7
Elf1
Sf1
Mllt11
Ubb
Sertad1
Ctdp1
Fosl2
Pms1
Park7
Zfp691
Akna
Ash2l
Tirap
Hdac4
Htatsf1
Znhit6
Ddit3
Phc3
Tfcp2
Zfp30
Trip13
Rad21
Egr1
Rab23
Rfxap
Polr3c
Caskin2
Sgms1
Rxrg
Snai2
Adh1
Bdp1
Nfib
Trim25
Cebpb
Hnrnpd
Mkks
Med14
Mphosph8
Sirt5
Dedd2
Cul3
Rara
Mbd3
Zfp54
Samd14
Spopl
Sowahc
Bach2
Smarcd1
Ddrgk1
Hnf4a
Ripk1
Zfp672
Kdm4c
Foxk1
Rnf186
Pbx2
Nrbf2
Csde1
Apbb2
Trip6
Csrp3
Clock
Rfx4
Anks4b
Nbn
Nap1l4
Gon4l
Setdb1
Zhx2
Gpbp1
Snrpd1
Vhl
Zfp637
Per2
Zbtb7a
Ccnd3
A430033K04Rik
Gtf3c3
Rps3a1
Mdfic
Ifi204
Gatad1
Smad3
Ldb1
Spib
Lmo4
Cib1
Zkscan1
Kdm5b
Cdk9
Hic1
Mfhas1
Papolg
Ranbp10
Hnrnpk
Prkcb
Prkd2
Gpbp1l1
Usp22
Ikzf4
Ddb1
Rfxank
Zfp628
Zfp609
Upf1
Fbn1
Bop1
Tbx6
Nab2
Habp4
Vezf1
Nr0b2
Asb6
Ski
Maf1
Dgkd
Ewsr1
Jarid2
E4f1
Tsc22d3
Nfe2l2
Ephb4
Rela
Trim32
Taf9
Taf1b
Nfatc4
Gabpa
Gid8
Foxf1
Gstm7
Atf6
Snapc2
Atf6b
Bclaf1
Klf15
Notch4
Zkscan14
Suz12
Prdm15
Gbp2
Kctd21
Ankrd1
Hnrnpul1
Brd3
Mbtps2
H3f3b
Ruvbl1
Hinfp
Sos1
Bmyc
Ybx1
Ccnd2
Ccnt1
Pou6f1
Ift88
Apc
Id3
Phf12
Dnmt1
Ube2i
Irf7
Atf1
Eif4e
Skil
Zbtb11
Arap2
Gsk3b
Rfx5
Smarca2
Samhd1
Trim28
Nfe2l1
Gtf2h3
Nlk
Klf12
Mtpn
Arap3
Zfp219
Sox18
Heyl
Ehmt2
Ywhaz
Zfp809
Pdgfc
Mxd1
Zfp704
Zfp2
Med31
Epha2
Zgpat
Ncoa1
Mcm4
Hdac5
Mdm4
Bbs7
Papola
Foxn2
Litaf
Hivep2
Dyrk2
Ep300
Dhx33
Taf1c
Irf2bp1
Med21
Ivns1abp
Stat5a
Lrsam1
Ankrd54
Plk3
Pcbd2
Map2k4
Zscan21
Mcm5
Atf3
Zbtb48
Camk1d
Mafk
Rbbp4
Hsf2
Med23
Nfat5
Hsd11b1
Esrra
Sufu
Thrb
Nat14
Prox1
Id2
Cbx6
Tfeb
Smarcc1
Med30
Pmf1
Hoxb2
Zfp668
Cadm1
Zmynd11
S100a9
Cic
Wwtr1
Sdcbp
Nfya
Ppp3cc
Nr1d2
Ethe1
Zkscan6
Rorc
Polr3b
Zfp410
Trpc4ap
Smarca5
Ilf2
Jmjd1c
Hira
Snapc5
Hnrnpab
Ssbp4
Tax1bp1
Polr3k
Tnfrsf4
Tkt
Ncor2
Zdhhc6
Zfp58
Zfp180
Bhlhe40
Jmy
Nacc1
Zfp518b
Bach1
Uba52
Phb2
Six5
Ash1l
Stub1
Hdac3
Mapk12
Wwp2
Igf2
Calcoco1
Runx1
Maml3
Rnf4
Parn
Zhx3
Sox4
Aldh2
Zfp451
Fiz1
Zbtb49
Map3k10
Abtb1
Cenpb
Rbmx
Zbtb1
Mafb
Zbtb39
Foxj2
Taf1
Foxa3
Kdm2b
Hmg20b
Zbtb33
Flcn
Egln2
Epc1
Kdm5d
Rarg
Cep164
Tfcp2l1
Atmin
Foxj1
Yaf2
Mtdh
Zfp579
Ppp3cb
Anks3
Lrp5
Tbpl1
Shank3
Cebpe
Naa15
Maz
E2f5
Trp53inp2
Ercc2
Nr2f6
Zfp59
Myh11
Ddr2
Trp53bp1
Cdc5l
Hif1an
Bbc3
Sirt3
Btaf1
Ankrd2
Tcerg1
Rnf2
Zbtb16
Socs1
Arid3a
Crtc2
Cebpa
Rbfox2
Phc1
Dck
Ccnh
Myrf
Parp1
Ecsit
Nr1i2
Mbd1
Sall2
Setd3
Cflar
Med4
Tmf1
Usp7
Pcid2
U2af2
Batf2
Dhrs7b
Hax1
Mlx
Smarcd3
Gata6
Elf3
Maml1
Zfp593
Htatip2
Rps6ka4
Max
Gmnn
Nfic
Rbx1
Rai1
Psip1
Zfp260
Sirt4
Tcea3
Smarca4
Cbfa2t3
Pcbp1
Cyp2a5
Tcf19
Ar
Nucks1
Ccdc59
Hif1a
Brdt
Zbtb7b
Ddx5
Id1
Daxx
Arid5b
Xab2
Tcf7
Il18
Polr1a
Eif2ak2
Mef2a
Prkce
Tob1
Sp1
Kat2a
Tbx3
Sox5
Cdk4
Polr2c
Hmg20a
Cnot6l
Klf1
Ercc3
Zfp275
Ercc6
Tnfaip3
Tjp1
Klf7
Tulp3
Trrap
Ctsl
Gtf2ird1
Xrcc3
Mup6
Eef1d
Ripk2
Per1
Nr2f2
Cask
Matr3
Pole4
Tada3
Nr4a1
Maff
Creb3
Taf13
Cbx5
Dnajc2
Ikbkb
Xbp1
Rnf14
Ing4
Aip
Zfp277
Xpo1
Pias3
Wdsub1
Dio1
Bcl10
Brf1
Fbxo38
Cdk5rap3
Zhx1
Sorbs1
Gtf2i
Sec23ip
Zfp36
Rfc1
Hbp1
Mcm2
Pnn
Tradd
Tfb1m
Ankrd49
Ezh1
Nfkbib
Cdk10
Brpf1
Mapk9
Fus
Polr2f
Ell
Tle6
Cops5
Ikbkg
Cxxc1
Gtf2ird2
Zkscan5
Hcls1
Top2b
Bmi1
Pink1
Foxa1
Usp37
Mllt1
Ing1
Gtf3c1
Apbb1
Purb
Cklf
Hic2
Mbd2
Ncoa2
Sirt6
Mapk11
Thap1
Bbs4
Hoxb4
Rbak
Cnot6
Polr1d
Pcgf6
Aff1
Zfp112
Tardbp
Nupr1
Yy1
Ring1
Khdrbs1
Mst1
Sp100
Ddx3x
Ruvbl2
Nfatc1
Zfp263
Samd1
Ralgapa1
Rora
Mavs
Gtf2h4
Snai1
Lyl1
Sirt2
Hmgxb4
Dhx38
Yeats4
Nr2c1
Tle4
Dot1l
Zfp661
Zfp13
Trib3
Polr1c
Elk3
Ppid
Mcm6
Taf8
Gtf3c4
Foxa2
Zfp710
Hltf
Rbm14
Hhex
Mnt
Apex1
Ypel5
Phc2
Ercc4
Zfp276
Phf14
Plk1
Map3k7
Hdac10
Zfp764
Ccnd1
Cnot7
Tle3
Nfyb
Cth
E2f6
Ell2
Batf3
Rbck1
Jak2
Baz1a
Clasrp
Polr2g
Zfp524
Meis1
Inpp4a
Trp53
Psma6
Eya3
Zzz3
Rnf19a
Ttc8
Puf60
Zfhx4
Polr2d
Fam210b
Kazn
Esr1
Wdr11
Nr1h4
Gatad2a
Tpt1
Zbtb42
Nfkb2
Foxk2
Foxp1
Reln
Stat6
Snapc1
Nfx1
Hnf1a
Nr2f1
Npm1
Zkscan3
Mbtps1
Bcl6
Polr2a
Klf11
Rb1cc1
Atxn7l3
Bcl3
Zfp746
Zfp217
Gabpb1
Asb1
Nmi
Reep6
Hand2
Traf3
Ppp3ca
Mycn
Smad1
Cebpz
Taf2
Srsf5
Pou2f1
Stat1
Tfb2m
Kctd6
Foxo4
Lbh
Rbl1
U2af1l4
Zbtb17
Rarb
Bicc1
Polr1b
Setd1a
Deaf1
Taf5l
Pbxip1
Tsg101
Dhx9
Pou2f2
Tfdp1
Parp10
Chek2
Ddhd2
Zfx
Wiz
Psmc5
Tcf25
Phtf2
Med6
Ubc
Zfp703
Ndn
Phtf1
Rai14
Gtf2b
Nek6
Preb
Tead1
Gmeb2
Ing2
Tcf12
Klf2
Pttg1
Bbs2
Lrrc14
Dennd4a
Dedd
Zfp280d
Hivep1
Prkch
Taf5
Zfp64
Polr2b
Ppard
Hdac7
Prkdc
Zfp740
Ddx54
Dab2ip
Hes6
Xpc
Pcgf2
Zfp653
Relb
Onecut2
Hspa1b
Aurka
Gtf3c2
Elf4
Atf7ip
Bbs5
Kdm5a
Ctnnd1
Mlxipl
Dgkq
Il1rap
Csnk2a1
Sav1
Enpp1
Glrx
Mcm7
Bbx
Arhgef2
Thrsp
Zeb1
Zfp292
Zfp422
Gtf2e2
Phf20
Supt20
Sos2
Carf
Bhlha15
Asxl1
Helz
Nfia
Nsd1
Bcl2
Bin1
Mms19
Lsr
Alyref
Ncor1
Hipk1
Ablim1
Crtc3
Nfil3
Il16
Ppia
Pcif1
Mef2d
Psmd10
Hdgf
Erg
Fnip1
Med26
Smad6
Nr1d1
Tfe3
Ctbp1
Nr3c1
Kat2b
Zfp207
Ncoa4
Nfam1
Coil
Scmh1
Bcor
Nif3l1
Tcea2
Clu
Nrip1
Sap30
Brpf3
Yap1
Zfhx3
Aff4
Ufl1
Hsf4
Srsf9
Ss18l1
Sp4
Ep400
Zc3h12a
Rere
Naca
Gtf2a2
Nme2
Lpin1
Zdhhc13
Keap1
Polr2e
Iws1
Zfp750
Pa2g4
Ccnf
Tfap4
Atg14
Mapk3
Sox17
Dazap2
Mettl23
Nfkbiz
Irx3
Rnf31
Kctd11
Wwp1
Cbfa2t2
Cited4
Chchd3
Gcfc2
Arid4b
Esrrb
Per3
Rad54b
Mitf
Erh
Tef
Trip4
Nfkb1
Ubxn7
Ncoa6
Cbx8
Optn
Atf2
Myzap
Taf1d
Cyld
Lhx6
Ssrp1
Wbp11
Hdac2
Klf9
Prkcz
Tfdp2
Zfp367
Ifrd1
Uimc1
Dapk3
Tcf20
Ppargc1b
Gna13
Qrich1
Gtf2a1
Foxj3
Sox6
Gstm4
Zfp592
Rps27a
Crebrf
Txlng
Sash3
Smyd1
Zbtb22
Cnot3
Traf2
Pcbd1
Cbfb
Zfp523
Dcp1a
Mn1
Ctr9
Csnk2b
Zbtb5
Jund
Chp1
Etv6
Bbs10
Srebf2
Fbxw7
Zscan20
Wdr26
Morf4l2
Stat3
Bahcc1
Srsf1
Samd10
Inppl1
Pml
Trib1
Nfyc
Sash1
Mapk14
Arid3b
Cops2
Zfp143
Anks1
Mlxip
Gtf3c6
Elf2
E2f2
E2f4
Carm1
Pbrm1
