gene_name,rep1@8h,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep2@8h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep3@8h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep4@8h,rep4@12h,rep4@16h,rep4@20h,rep4@24h
ycnI,104.0093,219.9114,519.4352,799.8594,1071.0111,118.797,311.723,436.1341,746.0322,1326.6441,137.6138,344.6648,413.6715,902.594,1629.9222,125.8591,297.4234,396.0753,1463.4875,1896.0232
ycnJ,62.9734,174.3402,407.9798,544.0947,630.8497,79.8179,232.4172,338.3718,498.5018,947.2182,79.7179,301.3796,332.2979,683.007,1083.5694,74.373,283.4565,299.8921,1036.3831,1340.4982
ycnK,66.6337,275.8296,596.4595,772.5983,961.3121,86.323,336.0139,585.5105,736.833,1291.6072,87.843,532.1115,513.6553,958.5066,1572.1701,82.838,539.2244,478.7383,1480.5911,1979.9364
ycnL,38.5201,33.9997,21.2689,35.5797,43.9963,28.8426,32.6799,30.572,29.7459,27.815,32.7155,33.8295,26.4915,41.7295,49.8189,33.3822,36.2026,23.6174,35.147,36.7724
ycsA,26.9234,29.6097,57.8934,59.6878,33.6958,25.9247,37.1942,51.3739,28.173,24.6503,31.5463,44.5553,59.4909,61.8774,29.0091,27.8973,51.9274,60.171,33.6535,27.7095
ycsD,303.4451,317.5402,263.4258,290.8143,696.7907,263.8447,255.8203,328.2252,490.5863,515.6612,276.5545,343.7284,198.2428,300.2253,604.366,293.1775,361.0816,172.4896,504.3999,603.5173
ycsE,249.9126,213.2677,192.8906,141.1909,162.45,256.845,229.5374,215.67,193.8868,176.7791,237.5648,235.6807,166.7198,141.662,180.9103,250.527,221.5179,150.0383,169.268,161.7988
ycsF,316.478,344.9702,157.0318,55.7498,99.3382,373.1747,284.6976,138.314,69.6433,84.6133,345.01,266.1254,146.6378,62.6399,79.3814,339.9639,280.8803,147.4296,52.0394,76.9656
ycsG,253.8468,265.1183,183.4714,51.0643,80.3196,282.7316,260.4825,147.5741,55.5083,60.1213,284.6745,269.4766,211.3684,55.0237,67.4252,270.2257,279.9995,222.7997,47.7305,49.7563
ycsI,266.0855,276.3426,230.5338,48.8872,60.7376,267.0026,219.1039,173.2102,44.3184,54.9341,260.6801,294.5524,240.4612,41.847,55.3097,274.5436,331.5732,235.6617,40.2061,47.3585
