gene_name,rep1@8h,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep1@28h,rep1@32h,rep2@8h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep2@28h,rep2@32h,rep3@8h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep3@28h,rep3@32h,rep4@8h,rep4@12h,rep4@16h,rep4@20h,rep4@24h,rep4@28h,rep4@32h
yrvI,417.5648,337.3735,315.401,226.8146,276.6991,156.2517,272.4385,388.394,274.7546,346.015,356.2803,344.3436,302.0306,156.57,395.7553,281.5327,252.5144,206.95,366.4345,277.7783,147.4523,402.7955,289.6606,227.094,292.8037,283.6732,239.2995,161.0333
yrvJ,275.636,395.0532,279.2618,136.1719,169.0384,128.68,137.6261,272.6528,458.721,347.3555,217.2226,175.7491,134.8095,102.4746,276.9301,497.3315,217.6043,122.731,166.797,122.3087,100.8266,269.8172,519.0045,196.6459,172.4168,166.22,118.4855,104.575
yrvM,673.7838,651.2718,190.8659,210.9876,334.7652,206.0037,167.6948,565.0128,450.0734,213.3529,352.9684,482.8216,327.6006,110.3907,623.3165,366.94,121.6451,187.4072,372.202,255.4376,121.7846,633.0885,351.4997,106.0394,347.6109,363.3983,311.582,139.5678
yrvN,67.9553,64.7979,50.5514,72.7739,68.6748,95.5441,61.6512,63.4445,51.7819,52.6777,72.4818,85.735,76.1518,69.029,70.3687,63.5674,54.7021,75.8448,80.8863,62.0028,85.411,67.8297,60.3699,50.1541,83.2868,67.6195,88.752,68.9748
yrzA,75.351,45.0259,63.2705,92.6119,94.7084,131.9085,61.216,82.305,67.511,103.2353,77.4269,72.962,53.9119,100.0981,67.6885,69.2709,75.4388,90.9804,103.1829,51.4849,129.456,74.3409,76.5289,60.921,75.4627,81.1157,117.0104,94.3952
yrzB,1014.5752,964.8039,560.6841,368.8909,462.8087,227.2206,425.7296,956.6597,836.1022,708.4308,604.5628,544.0508,382.5326,276.1452,962.7377,812.8149,395.6525,373.4027,571.9263,361.663,226.8388,1009.919,873.3866,393.4291,519.7272,508.5551,370.0232,249.4801
yrzE,8.2643,21.9278,17.9266,41.8645,36.9021,111.0121,29.8375,11.6356,16.9505,22.5,23.143,14.6788,41.4001,102.0557,10.2792,17.8099,28.9787,51.9602,17.5046,46.0655,100.8208,13.1303,20.9114,29.5488,18.9253,23.7607,58.1452,82.1303
yrzF,244.8683,284.4743,156.4431,186.092,247.6521,203.1111,444.5633,231.4468,240.1641,170.625,224.0192,301.0775,308.3894,271.861,232.6843,244.6875,120.2306,192.6026,306.8374,289.1889,247.4715,243.4585,220.0681,118.56,302.9803,364.6601,259.1718,311.5872
yrzH,75.8271,106.6665,42.5065,80.9544,155.8215,92.472,183.3612,71.7331,62.472,44.2268,123.204,104.658,79.6084,129.6396,80.3618,85.5991,37.1847,70.2882,155.4212,106.378,129.5747,87.9868,78.4718,32.613,110.8762,127.3767,113.6672,144.1413
yrzI,153.7161,185.8174,204.3637,149.2767,172.176,150.0884,94.6066,136.1369,143.2313,243.75,203.9155,181.6642,99.8402,139.5945,111.3585,130.9337,173.1321,132.5714,138.4324,103.1867,137.9138,149.6859,121.1669,155.1601,186.9821,157.3861,128.444,125.8353
