gene_name,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep1@28h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep2@28h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep3@28h,rep4@12h,rep4@16h,rep4@20h,rep4@24h,rep4@28h
ywdE,9.4902,14.0996,55.9089,45.0413,129.9715,10.3163,10.4073,15.9632,30.446,49.9551,13.0073,23.866,64.1932,22.3725,40.372,15.7088,27.0815,18.1659,15.2874,72.4788
ywdF,86.7389,61.6436,74.569,56.4327,130.5734,99.324,69.2286,58.4071,67.2494,69.5912,114.2657,65.5532,75.5673,58.5114,73.6363,116.3623,67.7604,61.4093,59.6014,85.7786
ywdH,37.5747,29.5516,44.4761,33.432,96.9538,36.6859,31.9323,20.4368,18.4991,18.5634,35.7352,33.7766,51.8266,20.0813,13.88,39.5139,35.5223,25.9382,17.1819,55.8409
ywdI,55.7771,59.1917,43.275,47.1172,82.9449,73.6252,38.6321,44.9396,55.4469,45.6227,75.3185,58.981,53.0047,29.5184,26.944,99.6535,32.6862,46.4206,48.5674,69.1654
ywdJ,60.4612,58.1352,57.8474,53.5992,104.8956,64.9277,64.295,47.859,47.023,37.5619,69.9662,56.3336,62.3076,39.9012,36.1729,73.6275,53.1001,47.4218,43.8717,62.1348
ywdK,156.5149,147.8161,131.6265,226.5474,131.267,170.7436,206.1184,156.1475,162.0328,136.1581,238.1122,119.5275,125.7047,248.6859,143.8536,249.3651,125.5341,207.1824,238.0532,170.0023
ywdL,43.5074,59.5913,74.3308,40.0796,120.7714,50.4478,93.2143,88.623,83.0398,239.1433,55.2722,70.9052,69.0259,55.7439,354.8561,62.7343,66.6296,59.0933,95.77,86.4995
yweA,1303.0378,4106.9345,2252.1928,4033.2689,990.6579,1815.5669,5591.4676,4570.0358,3787.421,2148.2748,2216.9104,3583.6476,1874.3272,3895.4371,1963.8755,2466.9339,3538.6032,3088.4024,3035.269,1792.2758
ywfA,35.2779,54.2574,113.7045,232.4725,344.3795,33.1245,76.253,202.3533,498.6368,1131.663,52.774,59.9697,83.9175,373.7569,1174.0563,50.9658,56.7183,182.6283,505.0201,558.841
ywfG,294.0349,320.8868,147.9161,148.0254,140.6524,445.073,317.3625,196.394,201.3191,203.3854,550.0812,298.3723,139.8312,169.0108,203.1488,728.1664,298.269,143.2241,157.2022,143.0786
ywfH,309.831,311.6477,331.6264,425.1322,287.0944,283.567,352.125,555.4318,587.4436,561.301,295.3992,260.4996,312.4897,513.8336,481.5614,284.9931,268.5464,469.6182,533.2005,379.4737
ywfI,1086.4191,706.8719,589.6675,988.3177,567.5114,824.5344,744.4412,819.988,1026.4074,877.578,996.2483,567.3627,658.0294,1375.0281,971.53,940.277,518.9727,1177.6318,1395.0457,922.7106
ywfL,165.1061,103.6185,96.7718,118.6151,80.779,117.8618,142.4468,143.1391,112.3289,88.2342,138.4418,95.2181,88.4257,122.7237,90.4974,150.109,78.2585,132.1129,122.8356,83.2351
ywfM,23.1063,21.4275,41.8846,31.4198,87.7631,20.7125,17.7273,16.3204,14.3921,19.4344,20.9675,27.5275,43.1489,19.4741,18.9225,16.7372,30.9397,19.6445,13.1242,52.4324
ywfO,296.543,233.1702,161.0501,176.8579,141.809,294.908,258.5772,220.0984,200.4969,171.2768,337.0104,192.0735,152.1502,192.692,198.9095,336.8133,161.9216,187.0728,179.6258,149.4174
ywgA,247.1918,240.9898,149.9099,154.2556,112.4746,267.7478,269.1467,209.6804,174.141,123.7727,287.7979,181.9058,148.1836,197.0143,157.7812,275.337,183.5654,157.425,165.1457,128.3011
ywgB,13.4494,16.5564,50.5116,45.2059,133.4974,18.7139,21.7357,20.2276,15.0714,9.9363,16.2726,33.1847,61.1187,17.5139,4.6946,16.3258,38.3798,21.0434,13.1163,60.8156
ywhA,162.1378,113.9622,112.735,106.5539,145.9016,139.0341,82.1786,128.3426,139.0287,150.986,142.5672,103.0548,119.4946,101.5893,148.7257,138.6984,93.0746,123.0146,142.3619,126.6578
ywhB,569.7864,505.0759,392.4438,450.6243,232.5968,517.37,803.2143,691.1265,457.9771,341.7149,508.1728,391.8627,305.6256,574.9203,400.6966,512.8757,375.4067,478.6689,471.6212,283.266
ywhC,211.1561,164.5991,150.9024,153.5366,139.6734,179.4565,147.5795,203.6116,197.4159,172.3094,208.6665,123.5096,152.658,177.5658,187.1934,211.8302,114.6925,185.9597,179.1821,165.5925
ywhD,321.0062,247.657,208.0778,233.9947,155.802,279.6907,291.9364,290.3279,257.226,215.9657,294.4301,203.8592,182.8193,278.9694,216.7474,280.1547,189.8249,253.9524,277.175,193.1686
ywhH,193.7825,77.1526,101.368,129.3525,120.5676,142.9524,82.0728,144.9285,131.4027,179.6965,143.5056,72.5442,92.2965,145.2256,158.6052,164.1908,63.4027,138.3636,147.0898,123.739
