gene_name,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep1@28h,rep1@32h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep2@28h,rep2@32h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep3@28h,rep3@32h,rep4@12h,rep4@16h,rep4@20h,rep4@24h,rep4@28h,rep4@32h
yvcT,216.029,225.0482,122.2443,127.7924,137.0402,172.3295,220.6384,221.1,182.8296,163.6974,169.9203,137.3759,218.1409,178.3112,120.4311,137.703,172.0723,132.7223,227.5165,163.6192,137.3437,161.3462,109.9949,134.9283
yvdA,31.9441,21.6039,53.8257,40.1036,115.908,32.0207,41.4344,30.5,27.4287,33.6633,33.2001,62.1209,41.3518,39.4603,73.8126,35.0092,22.6784,91.2905,52.9757,37.0808,31.7224,33.1895,59.1653,53.7758
yvdB,37.5786,29.3713,45.3898,37.994,77.604,31.8919,29.2217,30.2966,31.005,27.4556,31.7289,54.3161,34.4309,37.5862,51.8349,27.8558,27.5872,68.9836,33.6428,38.4404,30.8447,25.4845,53.9438,45.8397
yvdC,119.392,149.9471,167.8491,162.7547,153.5495,91.9541,155.3132,164.0187,206.1961,133.3983,94.0376,118.0628,136.5447,137.0854,156.9381,158.6186,95.5751,138.9468,172.0378,140.082,176.7205,140.2164,147.13,118.1971
yvdD,182.0122,252.0933,178.5781,203.309,165.3618,126.1421,230.972,235.625,225.9053,207.1233,138.1252,128.8869,230.3648,203.3066,172.2902,196.0533,111.8048,139.8395,233.4178,193.7932,197.3359,185.7775,145.9322,125.7824
yvdJ,0.3579,7.596,24.774,12.2521,53.7374,13.7901,4.3573,2.6441,4.5327,4.9161,5.5526,26.7887,4.0595,15.2156,27.8197,6.4283,7.4954,41.1139,2.8962,16.0854,9.5314,4.9861,24.082,31.6689
yvdK,3.4821,10.7607,29.6428,21.9342,78.265,13.854,6.4198,7.589,10.2535,6.5454,8.6438,40.8656,5.5823,19.7741,41.059,10.2572,9.8451,67.5517,6.0456,22.1589,9.5518,7.4709,39.0637,40.1609
yvdP,16.0252,23.4087,51.543,29.3375,103.2809,22.1734,13.5263,30.904,25.5566,19.4231,26.1161,84.8516,15.5042,28.2685,62.8474,22.011,35.5774,84.6023,15.2568,35.979,31.852,19.3712,60.7663,62.2765
yvdQ,9.2612,11.0076,35.9188,19.2152,81.2791,37.0681,6.9801,17.6754,12.7068,14.7303,35.579,79.6102,5.6026,23.9055,44.6704,9.9807,39.8695,63.4915,10.9012,20.7021,15.2098,16.7734,47.5275,57.235
yvdR,8.8804,7.5392,21.072,25.1809,80.9247,35.3669,2.5743,12.757,3.1242,5.7069,17.4954,44.2062,5.223,21.7239,33.6296,7.9752,18.0818,58.961,5.8072,20.414,13.796,4.8113,46.7417,43.9527
yvdS,8.484,17.6065,28.4614,17.6025,66.2108,34.6328,5.7384,9.5759,11.9388,6.1336,16.7143,56.1386,4.9899,18.6071,43.965,5.0795,11.5164,73.3584,6.2414,24.2101,11.9249,3.2833,53.2815,60.1486
yvdT,202.4933,141.5745,97.2851,110.2007,137.7689,208.6196,178.4506,117.5,116.1435,109.6013,135.6002,151.7524,171.5485,101.117,96.1507,149.7618,141.7399,153.99,154.9439,101.586,98.4116,136.1523,164.9632,161.9792
yveA,4.6608,4.8171,29.5473,18.2895,76.6218,10.3504,2.9959,3.1814,7.2183,7.0323,18.5643,50.1549,3.831,13.2308,40.5917,6.3696,19.8055,62.9859,4.0252,19.9505,8.3651,8.1873,40.798,47.5734
yveG,13.1973,36.4135,46.9729,30.1199,98.9858,22.6662,16.2589,10.1562,19.1519,15.902,16.25,57.0828,11.643,25.048,55.8957,18.7658,15.3552,84.0565,14.5633,30.5989,19.038,9.9592,60.3857,55.609
yvfG,174.9993,170.6714,94.789,109.8268,104.6251,110.1583,182.3722,189.6575,101.889,81.5576,69.4522,78.2285,205.6092,147.1315,122.7993,118.1962,60.5793,111.21,193.6457,150.6409,101.1079,91.6793,105.1033,72.2591
yvfH,64.2079,111.0879,136.6109,131.3156,136.2064,181.3293,44.7679,84.7074,121.6534,166.8693,126.1279,110.2535,73.4676,100.1922,154.8009,139.0309,175.9309,126.6864,78.0842,96.8215,149.811,146.3074,149.7425,132.7405
yvfI,131.9726,90.448,107.434,124.5618,130.5906,196.9537,103.9178,85.0909,112.0623,121.7803,121.6093,153.1239,116.1274,76.5104,100.4329,135.7603,126.0519,149.6067,115.4475,69.1579,114.7071,147.0898,137.434,177.3712
yvfR,3.5076,9.2313,34.3539,24.4525,105.48,5.6575,2.1352,4.5349,5.553,3.8038,7.2558,45.0354,3.1829,21.8359,53.2718,7.5601,3.0608,73.4397,1.5483,27.776,7.7067,3.9094,52.6797,45.8174
yvfS,1.2875,5.8298,29.7087,20.3025,79.0623,2.3075,1.4929,2.7744,1.0192,1.5514,5.7073,28.8418,4.5436,14.0106,34.9007,6.9378,2.9961,54.0745,1.2629,17.4523,6.2865,1.7938,34.6546,28.1597
yvfT,62.4386,51.8041,72.3143,73.6656,97.8817,64.8513,51.5842,45.6048,75.2597,75.3036,67.7259,67.6077,55.1566,43.5243,80.948,72.6418,68.3552,84.796,53.6599,48.3914,71.2388,75.9173,77.0004,78.5873
yvfU,45.698,40.1343,64.9837,55.2538,99.1929,48.48,43.8519,36.3806,62.3671,69.1143,55.1046,65.7192,43.6922,33.0983,68.4685,60.8525,52.7117,75.4266,47.9165,34.475,57.3543,58.5432,82.5643,59.4428
yvfV,84.3741,134.2623,218.9314,256.54,227.2265,82.3354,78.7534,93.0126,194.4183,417.0976,367.4818,102.8169,86.1845,95.2454,220.8202,269.7714,309.1591,113.1582,96.8451,105.2595,267.9409,285.5634,332.6788,101.8447
yvfW,118.5554,83.0974,212.674,225.0774,208.1477,97.1688,90.2847,69.875,188.5591,433.488,370.0132,105.1525,90.8153,65.6259,236.2085,277.5364,345.1072,111.2603,89.1599,62.2963,266.3851,262.3101,333.6607,111.3505
