,4140@T0A,4140@T2A,4140@T3A,4140@T4A,4140@T5A,4140@T6A,4140@T8A,4140@T0B,4140@T2B,4140@T3B,4140@T4B,4140@T5B,4140@T6B,4140@T8B,4146@T0A,4146@T1A,4146@T2A,4146@T3A,4146@T4A,4146@T5A,4146@T7A,4146@T0B,4146@T1B,4146@T2B,4146@T3B,4146@T4B,4146@T5B,4146@T7B,425@T0A,425@T2A,425@T3A,425@T4A,425@T5A,425@T6A,425@T8A,425@T0B,425@T2B,425@T3B,425@T4B,425@T5B,425@T6B,425@T8B,HR3@T0A,HR3@T2A,HR3@T4A,HR3@T5A,HR3@T6A,HR3@T7A,HR3@T9A,HR3@T0B,HR3@T2B,HR3@T4B,HR3@T5B,HR3@T6B,HR3@T7B,HR3@T9B
mlpA,3612.2,4626.5,1694.7,30976.0,26135.1,46168.4,14432.9,3335.8,49188.5,15154.7,36529.3,44770.6,29432.5,18039.7,633.7,832.7,1311.6,6816.2,6445.0,4224.7,2178.0,379.1,703.9,766.3,3252.1,6751.3,5204.9,2630.6,2277.9,1832.3,2864.5,6941.6,60056.5,42291.9,24832.6,1077.4,5779.1,4271.5,31590.8,28810.5,25831.0,15761.2,346.9,554.0,2552.1,4226.1,3692.2,3119.3,1268.2,482.8,1203.4,2651.6,4694.6,3346.1,3092.7,809.5
smpB,24526.9,13050.8,16340.3,13083.4,12642.0,10951.7,8628.4,28112.8,11365.9,6937.8,7960.3,12610.3,9602.6,9173.7,7320.0,9510.3,8344.1,6351.8,4738.6,4451.0,2477.4,7952.4,9779.4,8889.4,6879.1,5345.8,6001.1,1881.8,32685.1,28631.3,28351.6,17057.9,18107.8,14223.2,12309.8,24039.6,43204.3,22573.3,28610.2,9066.7,12477.4,10174.9,4266.6,3359.3,2479.4,1631.1,1948.6,2944.1,2953.2,5342.8,2573.6,1459.8,2788.1,2665.5,2715.9,2099.1
fliD,7.9,2.6,6.3,5.8,7.5,20.9,0.0,20.9,0.0,917.5,314.1,0.0,0.0,0.0,3140.5,1041.0,531.8,197.1,104.0,77.8,189.0,3909.8,1297.9,649.4,432.6,197.4,32.8,234.6,46.6,15.5,47.8,5.3,30.2,0.0,8.5,120.0,130.5,59.2,0.0,0.0,3.3,9.5,1838.1,543.5,174.4,248.5,80.5,92.9,228.4,1626.2,547.8,283.7,155.7,63.7,71.8,261.9
aldY,0.0,583.8,84.7,0.0,0.0,0.0,0.0,722.9,0.0,70.9,210.9,0.0,0.0,0.0,110.8,105.7,227.6,874.0,1468.9,1514.5,2050.9,207.8,112.3,67.6,404.2,1285.4,1864.4,1549.4,79.9,0.0,31.7,0.0,183.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,2251.0,211.6,1153.0,1055.9,1862.9,1508.4,2041.9,2965.0,154.8,837.9,1703.7,1395.7,2029.4,1750.1
yvpB,952.2,644.2,275.4,620.7,1411.1,892.6,1959.3,858.3,638.9,616.2,109.2,461.8,1281.5,822.5,1462.3,1098.6,1101.5,547.9,408.5,221.6,795.4,2113.8,1452.2,1214.9,726.9,413.8,219.0,534.9,1062.5,575.5,200.5,290.1,39.3,425.4,117.9,1926.7,1007.1,223.9,397.1,209.9,316.5,417.4,1046.9,1105.3,408.8,180.3,82.4,167.1,0.0,746.3,1038.2,502.3,163.3,345.8,166.0,795.5
yabE,2110.2,26242.8,23329.7,12912.0,13441.8,18821.2,8276.9,2648.9,17528.6,8166.7,10818.2,16011.7,11982.0,5957.9,931.8,9635.0,19668.4,16560.2,15133.8,12318.1,5043.4,1374.4,4648.9,15101.6,17242.0,11881.4,15087.8,4270.7,1481.0,4940.1,15480.3,28611.0,38217.2,30876.2,20345.7,1028.5,5847.4,26356.5,39323.3,40301.2,32612.9,15668.2,378.4,3909.8,2639.8,2967.9,1429.0,1462.9,477.5,352.6,3936.1,2726.9,2164.8,1255.4,1376.7,249.0
natK,128.7,0.0,367.5,0.0,0.0,0.0,0.0,0.0,0.0,118.2,96.3,0.0,0.0,0.0,134.6,125.5,195.2,146.6,202.7,258.0,684.1,111.5,195.7,351.3,230.2,258.1,349.7,907.5,0.0,0.0,0.0,0.0,148.1,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1504.1,468.0,658.1,481.0,888.6,1997.7,12880.0,1194.7,970.4,320.1,585.2,970.7,1907.1,6703.7
yokD,3.9,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.9,876.6,318.2,246.3,81.1,38.9,0.0,446.1,570.4,393.9,73.6,27.2,73.3,76.2
ydjC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.4,0.0,0.0,0.0,0.0,0.0,13.2,101.4,20.8,17.5,30.3,58.6,4.5,35.9,6.8,103.3,0.0,50.1,18.8,56.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.2,72.7,0.0,0.0,7.0,0.0,0.0,19.6,15.2,42.3,0.0,51.7,55.8,0.0
mcsA,5177.2,1962.7,2121.6,1893.7,1957.2,2256.4,1222.2,5045.7,1440.0,987.0,1585.0,2824.5,1747.7,1898.7,1093.7,2092.1,2868.4,2437.8,1674.7,1228.6,1806.9,1284.7,2051.1,1370.8,2254.7,1908.8,2464.8,1316.2,8141.4,5820.4,2615.4,1490.9,4131.3,3288.3,2206.2,11869.8,7766.0,4121.9,3668.0,1759.7,1992.7,3662.5,4686.7,1551.4,1482.0,539.7,674.3,859.1,354.4,4194.6,271.6,1043.0,1076.8,891.7,1635.7,1011.9
