,4140@T0A,4140@T2A,4140@T3A,4140@T4A,4140@T5A,4140@T0B,4140@T2B,4140@T3B,4140@T4B,4140@T5B,4146@T0A,4146@T1A,4146@T2A,4146@T3A,4146@T4A,4146@T0B,4146@T1B,4146@T2B,4146@T3B,4146@T4B,425@T0A,425@T2A,425@T3A,425@T4A,425@T5A,425@T0B,425@T2B,425@T3B,425@T4B,425@T5B,HR3@T0A,HR3@T2A,HR3@T4A,HR3@T5A,HR3@T6A,HR3@T0B,HR3@T2B,HR3@T4B,HR3@T5B,HR3@T6B
padC,3577.3,1718.7,1366.4,3335.4,2670.7,2376.5,2783.3,943.0,606.8,3031.7,557.7,1258.7,516.1,359.8,130.1,664.9,1442.0,675.5,709.5,289.0,1803.6,201.9,256.2,593.2,3825.9,2073.0,917.4,1574.8,974.4,5267.0,404.0,303.4,81.5,173.0,78.9,478.3,223.7,105.7,76.1,44.8
BSU_misc_RNA_9,15875.2,2612.6,4969.4,24320.2,19077.2,15192.3,5386.6,2837.1,2063.4,18363.6,3142.0,1351.1,2277.0,1542.1,1488.4,3228.5,1625.2,1208.4,2182.9,870.7,19570.7,7112.3,2839.2,5471.0,5245.2,23236.9,6338.4,1043.3,2145.7,1937.7,8688.7,2340.7,2135.5,938.4,209.1,7792.4,2024.6,1222.0,3449.3,1078.4
yonF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,2.7,49.3,0.0,9.7,0.0,1.6,10.8,13.5,10.5,54.8
sunT,14.7,0.0,3.8,4.7,5.7,4.9,16.4,1.3,1.6,0.0,0.6,0.4,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.6,8.4,6.6,0.0,10.4,25.2,1.6,6.3,8.7,24.0,11.1,421.6,447.7,165.1,6.0,1.9,778.0,312.4,34.2,34.7,10.6
spoVE,3099.3,3184.5,2444.1,20226.3,15562.9,4418.3,25662.2,5714.6,13777.4,31054.7,815.7,619.2,2033.3,10443.2,9517.4,437.9,423.1,818.9,4635.6,10139.0,2205.9,5586.9,4195.0,6811.2,50518.1,3596.3,9693.3,5869.9,25465.0,36495.4,226.8,1179.1,5777.8,5875.6,6414.8,253.1,1690.2,7012.4,8540.2,9191.9
trpA,2459.3,1264.7,2000.7,704.2,1045.6,1846.3,1365.2,1902.2,1590.1,1438.1,4663.6,5518.5,5532.8,3830.7,2579.8,5360.7,6726.1,5888.7,4317.8,2868.3,346.5,275.9,714.8,393.6,360.1,428.8,451.4,649.8,1395.2,697.0,1104.0,9459.3,2716.2,1771.5,1952.2,773.6,9658.8,2429.5,1332.9,1152.8
yjcP,12.8,7.8,9.6,0.0,0.0,7.0,0.0,5.1,0.0,0.0,3.5,0.0,0.0,0.0,0.0,5.3,0.0,0.0,5.3,1.0,0.0,31.4,0.0,10.7,21.9,0.0,0.0,0.0,17.3,12.7,168.1,99.5,39.1,0.0,0.0,289.8,70.4,63.6,2.4,0.0
sipW,1632.2,920.5,2911.3,700.9,581.3,1480.4,1059.8,664.9,435.1,670.0,333.3,232.1,94.9,59.2,50.3,229.9,124.4,13.2,19.0,29.4,12771.6,24690.8,13704.2,12741.8,13723.4,18848.5,13372.8,16907.5,16242.3,10225.6,886.6,391.1,200.4,101.1,184.1,384.8,446.6,596.6,251.8,23.1
ywhL,5998.3,9623.9,7191.9,1762.2,673.8,2269.2,28399.5,3951.3,3433.9,17739.7,1293.9,2164.6,2343.6,1466.2,1260.3,1044.2,1342.2,1390.5,1245.2,1203.8,5644.6,25674.5,21150.7,13683.5,4534.6,2051.0,4616.5,1185.2,1870.1,534.1,392.3,1819.8,1808.1,574.7,119.9,514.2,1583.9,2009.3,296.4,108.4
hemA,35907.4,11400.2,16649.0,7501.1,7635.7,24773.4,10842.2,7297.5,6047.1,10377.8,8789.5,4156.3,3474.2,3162.9,3119.1,9319.1,4189.3,3893.1,3955.6,3129.4,18691.9,10493.0,18459.7,4497.7,7465.3,14130.5,24052.8,12080.1,13715.0,9802.9,5745.1,7174.9,4044.7,2268.3,2221.3,7231.7,6459.4,2752.6,2248.4,2423.3
