,Rep3@0min,Rep3@30min,Rep3@60min,Rep3@90min,Rep3@120min,Rep3@150min,Rep3@180min,Rep3@195min,Rep1@0min,Rep1@30min,Rep1@60min,Rep1@90min,Rep1@120min,Rep1@150min,Rep1@180min,Rep1@195min,Rep2@0min,Rep2@30min,Rep2@60min,Rep2@90min,Rep2@120min,Rep2@150min,Rep2@180min,Rep2@195min,Rep3@210min,Rep3@225min,Rep1@210min,Rep1@225min,Rep2@210min,Rep2@225min
pgk,10.4440768621915,11.2696950463607,11.8436993816791,12.1132114327124,12.0163724786742,11.9927504400123,12.5813073492236,12.88177672888,10.7924347305482,11.2268947314219,10.8036132980387,11.1659808740328,11.4878789280888,11.8491607454205,11.7567679646302,11.3320684171159,9.80457269702726,10.9640704471301,11.1373074335179,11.6766828823672,11.6407494423193,12.1772531385469,12.3462242914922,11.9046480977354,12.6939977619426,13.1933496542697,11.6433968380491,12.2431779103687,12.23332693031,12.398618961335
ywhC,6.42564073931941,6.33658560731746,6.59629727061321,6.65347919378853,6.66938665228452,6.61863750308208,6.60762988231192,6.54696990248218,6.25265307418704,6.34958340369587,6.46127163460038,6.37357047049436,6.590301171728,6.74548748727624,6.60725119131283,6.71711977485219,6.62351712669729,6.53433124372302,6.55304191562342,6.88359307961487,6.66270915510996,6.55776908844285,6.77759684400431,6.55682674570669,6.70188128701398,6.70962265008086,6.60011652153496,6.60294637713938,6.70153291562483,6.7119962725478
yrdC,5.68143938137885,5.89023393743956,5.54399136573709,4.93923742270487,5.09888640399976,4.98280239452022,4.13104393411245,2.73511954001519,6.14568036779871,6.64095559308412,6.55403417958706,6.05438661176931,5.37523956600938,5.31975893087669,4.78524539474466,5.21294308464432,6.38670658876229,6.68986760188843,6.18058416860276,5.41885266765058,5.36724300770755,5.0000411811919,3.94113523697557,4.45794771026253,2.91654937073007,2.58688580581865,4.5867831442572,3.85340351194638,3.92049481991154,3.38807490127902
yybO,2.07465809080185,1.7448614691385,3.68952810554159,3.27616546376744,3.09484879127098,3.33551475910372,3.71918014205203,3.9418983403634,2.41522126504455,1.83493579547191,3.01966288989688,2.9901585450197,2.99633915044986,3.12155113003971,2.75533721117878,3.18894250591773,2.75473717303657,2.33342511490207,4.14048395591424,3.70947390072169,3.08161811014562,3.01224025452661,3.24679934863001,3.15732956056878,4.32938790698865,4.89007105545347,3.07203802875451,3.88820212872432,3.71642654431932,4.1783819973745
ydiM,1.40628402665951,2.06520402470651,2.57030364845813,2.3257727772154,2.86632653374176,2.74444735501849,2.26360139175027,0.769966054687153,2.33092524220514,2.76472862138943,1.08255500038252,2.26319476997974,2.3925544522815,2.65479373824713,3.11565490552736,2.08184809122403,1.11201301693455,2.44834067424963,1.70959359258753,1.51923856116247,2.35721506242456,2.90870184481106,1.5463201390924,2.61856873850593,2.28672304827037,0.224698229581499,2.2258896738735,1.81345060413937,1.60458454225414,1.33388799474441
yjbI,6.82395608842486,6.28533769443254,5.92080365719109,5.68419363419398,5.83306952544166,6.04969568075338,6.35677085427224,6.51229988339065,6.04095555927301,6.13530726322029,5.78545434787827,5.82327052936995,6.01745564646655,6.00907155316287,5.96417448425591,6.19173622765487,6.67677605277004,6.46180567843137,6.15558586990032,5.97967929670842,5.77898351548691,5.78264419199258,6.34021064063529,5.89657994378776,6.54978314132268,6.9120142777593,6.03845596821435,6.59331239063478,6.38301447765734,6.67726614149648
ctsR,6.11700022716101,4.96806261235797,5.00902659119939,4.87592208188179,5.05429781842345,4.68670206705773,4.39860725368502,3.58952724223862,5.03759852602748,5.17842605003788,5.50374668684576,5.21447554109598,4.9423380981146,4.88820924434299,4.83661221770887,4.87633288465591,5.76852758120705,5.50682494064781,5.27184598383022,4.67884884387737,4.74253189404058,4.73838260978205,4.57583096960468,4.80535473279007,3.71067200221059,2.89914575823141,4.97300270327525,4.30357986979079,4.42928714519096,3.64330438402089
yvbX,7.75785508696055,7.36025596794731,7.99010695234564,8.20912712351411,8.18650201382982,7.78588225881516,7.13418404410757,6.6934327097412,7.17885583008666,7.80106686692492,8.26322938388882,8.82083753878888,8.40128140070318,8.09135356576432,7.99878205575723,8.0725706829505,7.56898418691421,7.47436618134348,8.03503680780687,8.15533722671634,8.44311432988337,7.84537440397165,7.32984215513836,7.74840256007921,6.85285913700859,6.1829790197165,8.00560048788802,7.35302858703665,7.36987126812974,6.89787647753438
mprF,7.7924179803873,7.84475186928868,7.65355535402457,8.04589292469687,8.03449410667342,8.22758614729053,8.7597913020953,8.97825395894474,7.70943361677101,7.27152618298815,6.96633070606257,7.41519409883811,7.73757948373662,8.06447944230143,8.14878399433487,8.18337608590068,7.40800781013555,7.18847943641498,7.31340930213217,7.90326221961574,7.89313658743678,8.08785213001545,8.56666224330258,8.10703755936568,9.14066679069466,9.59689374932323,8.24395256694416,8.94428750530683,8.65492273337702,9.08317530024246
yktA,5.49015471818499,5.77336410577535,5.52277412035838,5.23129400041817,5.41325792490451,5.34838394470176,5.43984396194083,5.33894400438416,6.07455661004059,6.1297745939507,6.35389881316978,6.13016172745527,5.73337833305891,5.25970376586005,5.01813942853936,5.48111616240606,6.11571674673043,6.29428192894753,6.24752447957113,5.43298929148556,5.4142522096806,5.13997028348528,5.48595267860131,5.34318478921475,5.05852058000341,5.63119877510662,5.36503031721448,5.50055221803552,5.58963208079969,5.41718236133894
