,Rep2@30min,Rep2@0min,Rep1@180min,Rep1@150min,Rep3@240min,Rep3@0min,Rep2@240min,Rep3@195min,Rep3@225min,Rep1@225min,Rep2@225min,Rep2@180min,Rep1@30min,Rep1@195min,Rep3@180min,Rep1@0min,Rep3@150min,Rep2@150min,Rep1@60min,Rep3@210min,Rep2@120min,Rep3@120min,Rep2@60min,Rep2@90min,Rep2@210min,Rep1@210min,Rep3@90min,Rep2@195min,Rep1@90min,Rep3@60min,Rep1@120min,Rep3@30min,Rep1@240min
yfnH,-1.17339112001078,1.19355993049279,0.549226086668609,0.420279261854739,0.489850172869988,1.06229321820502,0.539153446304053,0.447472907545263,-0.281287631147313,0.989631312709801,0.515874003901462,0.98686570942631,-0.0488576867266329,0.411705485748244,0.647294241232624,0.274134130079833,0.735013802134685,0.795569372089784,-0.395508360006702,1.05311420365191,-0.402324884930985,1.27789821480237,-0.170365632923025,0.363694984430174,0.59814291917573,0.824406805580854,0.800114343699988,0.512861087210459,0.193411410157381,-0.0259078048926544,0.924677193703737,-0.0292746098139755,-0.51295802052406
ydfS,1.45506618248408,2.33697725566697,1.80894622151833,1.96047298225987,1.95984757802917,2.15780409089708,2.04974682178849,1.35568161431775,0.998669551549299,1.29641788695892,1.42043454445035,1.0698597734471,1.03063047814108,1.6969479380513,1.67086634160045,2.47536065050974,1.16840793991548,1.5589377900092,1.96223714269567,0.743615628168067,1.56521123513217,1.35834988615533,2.07844399536407,1.93138249187046,0.80631437701486,1.51378265337153,2.08693154639805,1.39820281305871,2.02471673317863,1.78318544119871,1.88421197101028,1.59985326524217,1.79707895176873
yvgO,-0.0503203009984466,0.783701168281103,-0.404782056724889,-0.103032974273897,2.54681386574983,1.26341319286386,2.37545701092101,0.447472907545263,2.0258139460071,2.07744036819106,2.28052971616671,-0.306987530492294,0.305393092578715,1.12431792724651,0.540675596865991,0.403587512305959,0.590101721027195,-0.0133721779182332,1.20478756362898,1.71233870665613,-0.331675086179167,1.00551889910497,1.46342663344536,1.40913196635111,1.07121043221456,1.11191557556417,0.349134018289878,0.245016652288185,0.727226973363796,0.829328951094056,0.435614561813501,-0.600750121633341,1.93999150657434
nusG,9.19974129796646,8.56110973335298,8.83857246435625,9.08062869120972,8.30360114456077,8.29935693616744,8.36838821518773,8.45941380053392,7.81573674287951,8.22311199482397,8.18988602936175,8.80429074898953,9.18673527807746,8.9135027959326,8.579876809474,8.38463773914416,9.03230741981874,8.99410145601525,9.26912596109953,8.3703886265493,9.07266753691221,8.92238267679821,9.33904551647588,9.29377018638316,8.64965685549416,8.69976738888887,9.05122154037978,8.93302988465547,9.09442586442969,9.23852577390774,9.12210812268784,8.78692965353217,8.81503339250019
xtrA,3.02180557932128,1.85077936455122,2.93890210459594,3.902842267623,1.99240272814155,1.59712312245926,2.87811338076594,3.01967649213046,2.35311016672068,2.6905237558246,2.9814217563509,3.65563496175942,1.41722286960432,3.38258684825818,3.5231043949028,1.50409199242726,3.67791963625976,4.53320056981263,3.16979959813143,2.86459010602947,3.24077119427649,3.19682912526199,4.00873909414177,3.80496360014507,3.39251353515936,3.09419847412249,3.23117305793314,4.18823774493986,2.68845224523054,3.58876972375492,2.95341855829184,2.38143220925759,2.5869529430915
sufA,7.89231535501846,8.34933621049955,7.46890798578058,7.56745018883563,8.24527855337091,7.85273520009604,8.20143481800702,8.17990341421055,8.82634396570471,8.00957825612866,8.15046833688407,7.94229310464849,7.44082029009037,7.71309124561757,8.04128373757294,7.8615421908272,7.67833748973361,7.33820270790001,7.30850536414982,8.08872513745672,7.66516089758999,7.33798829550285,7.57393480088754,7.50488669768795,8.00950095645749,7.57084566334323,7.35631184763442,7.58179938895446,7.37825020890066,7.2526339839171,7.67703448137835,7.70438074066959,8.47280432489087
yfhE,1.68338248444853,2.02796856745363,0.973082235090008,1.22494413461965,1.25151092032644,1.58214937961845,1.36026877789127,1.03337703911094,0.947868962989688,1.3965004884018,1.2885865406253,0.651805556212104,1.66173798888787,0.811570506400718,1.04845451405064,2.18248164549024,0.86668955219797,0.716015219947289,2.14130028744719,0.957140761971921,1.16200156059552,0.669458954735651,2.20996294341731,1.22640816785814,1.3290637100301,0.635849650881537,0.902053252583018,0.0054408861985111,1.31995312294959,1.27509760568381,0.59303997887913,1.5690168164379,2.00646728590301
ydeJ,4.12116439680118,4.48935223734092,2.58556593799975,2.72915157920851,2.02423943685625,4.38499218945051,0.935016224612062,1.53643099317969,1.27080895398781,1.66081025356689,1.9136504650402,1.7105149071699,3.81359193226951,3.23306973704489,1.74477209030907,4.26751752271384,2.57508166622405,2.39902254216094,3.71869351405691,1.52420348946341,3.10727531298946,2.59466636486529,3.89961095986734,3.02360976357426,2.52186839707199,2.64156060877876,2.93508686218349,2.50025740923207,3.47127756027001,3.29264977128525,2.98217369172698,4.03809398116808,3.48480302988623
yuiC,4.57557782252881,4.44425058597444,4.15618962023133,4.28615899104036,4.05960511460816,4.08386269191092,4.11933749300619,4.7075363272918,4.52452066049558,4.65294879912001,4.41810072009766,4.28301215176693,4.49127649403604,4.0553124319618,4.2114439302391,4.0004841558569,3.93457283920652,4.27322580882341,4.23853090850139,4.5510438793817,4.21467480235156,4.0539179209335,4.19922800021178,4.52236904732463,4.5317648794013,3.95658662612223,4.02830145059515,3.93816250602005,4.23600878248207,3.77973714961852,4.0762189421997,4.08516594422248,4.25064199210855
yloH,7.73955393706347,7.78396377411679,7.43805903426592,7.64125149950903,7.53004673648551,7.56761287387257,7.59416335166759,7.55749257833668,7.42221553730194,7.47058977900802,7.64597997382067,7.60190086736055,7.72940875000889,7.52668709537607,7.4415927444023,7.74142055075468,7.46502754561603,7.46413902236079,7.83813629261466,7.55282580145913,7.73239870538404,7.45065486701161,7.68806137733242,7.55866147927752,7.69223282171848,7.46640554935651,7.53717126304895,7.4721368233433,7.8306729976976,7.6391131765888,7.68115082974723,7.38176380472993,7.66439942101037
