,Rep3@30min,Rep3@60min,Rep3@90min,Rep3@120min,Rep3@150min,Rep3@180min,Rep3@195min,Rep3@210min,Rep1@30min,Rep1@60min,Rep1@90min,Rep1@120min,Rep1@150min,Rep1@180min,Rep1@195min,Rep1@210min,Rep2@30min,Rep2@60min,Rep2@90min,Rep2@120min,Rep2@150min,Rep2@180min,Rep2@195min,Rep2@210min,Rep3@225min,Rep3@240min,Rep1@225min,Rep1@240min,Rep2@225min,Rep2@240min
yjdG,4.82857434682179,3.53797449106188,3.14370013768471,2.56106464077494,2.83298941104413,2.814217266797,2.35643428035007,2.32567740451024,4.65429505035087,4.52332037227851,3.99920317438896,3.36719646976995,2.88183322210033,2.85834588153686,3.45424146875937,2.99561052379793,4.64950125019061,4.26670220417719,3.52381052850732,3.09450374747639,2.67625372507316,2.49053667282239,3.05612236505513,2.81467294615837,2.80237902870429,3.36212591315898,3.17684231365804,4.14640333780764,3.07777558700012,3.10386265052494
yodN,2.67001187213508,2.65941130568303,2.25046846821158,2.2171882080378,2.46855355177195,2.1593590489481,1.84153858444471,1.87874626596257,2.29655271514412,2.38056515289942,2.07567039242498,2.08314014162881,2.38522819450131,2.0310000234451,2.12932027167163,2.02521352524242,2.83377675794269,2.68310076927106,2.48658807778138,2.33566975318971,2.08749607658261,1.5463201390924,2.19216123296445,1.94990165862067,1.42734308754335,2.02423943685625,1.15116398489711,1.84630632230174,0.800380493035063,1.90576766381858
yesK,0.546626005785154,0.444253742220035,0.800114343699988,0.466634269088906,1.32925916771784,2.12286783489098,1.97287661009335,1.93020712521103,0.305393092578715,0.402690744481128,0.407426533260421,0.59303997887913,1.29189513586749,1.6836307831394,1.51232055861871,1.84527805802033,0.232242603892799,-0.503524676997055,0.899897341379979,1.18627993535476,1.38980683108129,1.32767051812901,1.1058048362045,1.78755022870912,2.41051779060615,1.0184749864042,1.90691834200437,1.01981506231716,1.6880176972084,1.56588022804563
ykvO,1.36872489240576,1.6503632514306,1.44287484500047,1.57584799549439,1.67897255248528,1.92513233435278,2.14986763366391,1.45561416587414,1.87075527346226,2.64091736628148,2.10048788526242,2.08314014162881,1.68961700043477,1.41736925172691,1.92927146896303,1.82775039429648,1.83892826571455,1.91981594386742,2.18630699496271,2.02165504474752,1.80945954445321,2.19019686452822,1.74890873605804,1.76279055540871,1.63427790114036,1.82174237507288,1.99469728595414,2.29943774940928,1.03791678573103,2.1806519504928
motS,5.67994888711272,5.41941287202508,5.66257037776116,5.63737304433204,5.99437680260316,5.81917902255206,5.75172063860363,5.86206020419654,6.07132575470414,5.44759414144167,5.86279216349934,5.95445722856243,5.98987603183044,5.85941468143524,5.87351954844096,5.7093218671609,5.83454597890673,5.5304837073935,5.85529008588144,5.85099095669705,5.86447718802334,5.80342523843758,5.98183623102464,5.80502602222935,5.60684556073277,5.1887721064134,5.52839493278181,4.96434811847937,5.66994173663919,5.03483619020482
yecA,1.79901576620444,1.46504400181671,1.48728584351586,1.76481141226561,2.44064541728934,3.22904010001187,3.06454527333331,3.12966095614909,1.3679438550917,1.81645950665676,1.29866376012798,1.86889555234606,2.09153000828721,2.46016082140299,1.6969479380513,2.2258896738735,1.83892826571455,1.74156673298294,1.80664134058398,1.93833898387278,1.84728865555837,2.54956543697056,2.58988801319614,2.63533583507596,3.36378686464627,2.71230599757632,2.60942363253787,2.75104239390407,2.49513583680041,3.16838941542151
tlrB,6.00411664614388,5.18441239230829,5.35028522803576,5.39906443985089,5.80214168731317,6.38304530373555,6.36911257845596,6.55389024008975,5.86036200433976,5.55348762654802,5.51600596402711,5.53174874257232,5.5514494139994,5.5539849177744,5.96275697107745,5.88696185124504,5.92166013207181,5.58216459352545,5.77571470605429,5.71053475761844,5.51086543839409,6.2373706594256,5.83069249498956,6.27881256185443,7.07401235492718,7.14468953441097,6.33199271533534,7.26240166050845,6.58308342276131,7.05665482256567
yxiB,5.32715707027907,4.17682011543307,3.80087510947032,3.39101293156453,2.01803626606468,1.45299578605918,0.0314931624286044,1.68263763313309,5.44812716179515,5.22912709962765,4.44664698884027,3.9028278607028,3.03950651103914,3.2854734500425,3.39234893138114,3.22045572599735,5.38407694518119,4.88492723091949,4.35798530758533,3.93557260267807,2.63359216277326,1.2585888797505,2.05199743383565,1.71195876339506,0.136713096833692,0.953819464126197,2.41630668442716,3.6533290068041,1.97212734083583,2.11668361158008
yqeW,0.638598661871631,0.700879632617057,0.0269086878364276,-0.403354428713601,0.78025429079907,0.540675596865991,0.769966054687153,-0.195794060047221,0.406471270656909,1.20478756362898,0.28286173066473,-0.309870380202236,-0.22254368977744,0.122345904567466,-0.143382523083803,0.464970621344889,-0.402045909373752,0.369312213847515,0.363694984430174,0.231883129137394,0.116228304241167,0.353601717116916,0.0897979402192023,0.59814291917573,1.56854327036011,0.661625578931336,0.807705131105618,0.510490119403848,1.42043454445035,0.722243019697989
mleN,7.34213204021512,8.26049620393518,8.67794614130307,9.03164594809451,9.30938572539993,9.86312702712746,10.1934440615278,10.5734221093009,7.97904120819194,7.43682983394598,8.07524483958558,8.66049321172218,9.20571443301147,9.77641557156984,9.50482205871797,9.92099273558516,7.73602353228272,7.7895228990462,8.47243784235257,8.84951051238604,9.44452486402812,9.8729068087375,9.66827411551215,10.1070653781177,10.7153569178038,9.00920537942494,10.4735564618606,7.9353740197649,10.5735807833639,9.43367440290888
whiA,7.83809891704892,7.81620297088093,7.70199051431127,7.60392617896766,7.48266939997797,7.42529658800857,7.19426250737857,7.17070850709518,7.5452983203116,7.27967408202824,7.36102290810476,7.57247850791682,7.49796356757646,7.60659221546357,7.27865841724746,7.42802525298186,7.4504381328398,7.35307917267817,7.19331839589487,7.47409299644126,7.69172426061681,7.38557997360956,7.5542276789159,7.17896493270318,6.64032415482326,6.80541779946722,7.15650526594754,6.74270725700853,6.98653945086491,6.80171908210314
lysC,5.96467981898063,5.95288553938062,5.80972697054275,5.92013129813655,5.66112336691815,5.98337886596305,5.99713008986318,6.00391219774441,6.16265675239952,6.0979873973477,6.11957734974715,6.0778178175012,5.76484268007649,5.74980148255997,5.94213575910478,5.64572497358719,6.08598158290962,5.97236576444199,6.02704573344961,6.08930603972793,5.7691584269881,5.96392568136057,5.61634878654136,6.05237038437548,6.36340555961332,6.65847219317309,6.00604681958585,6.42192011826905,6.02619290263169,6.57751327708861
yvcJ,7.10980623188677,7.1840863583751,7.17134170179136,7.18301118093606,7.1471408303038,7.3067755032617,7.37582719766029,7.30673207912773,6.62006134524777,6.41056999901383,6.59602950028962,6.81920834966985,7.13287270018848,7.32119931712325,7.00688480682018,7.13967417854359,6.55931725381523,6.73280260696199,6.89576543482085,6.89955789138705,7.30120072289051,7.26362410345212,7.23399282463321,7.12412950539913,7.30663665268228,7.35724442471505,7.19696943783681,6.87831720411074,7.18809438932421,7.17326962610015
epeB,3.99524480973439,2.96227921171816,3.10617345957869,3.52775633488798,3.62310219570522,3.12217443725291,3.10806059317037,2.57236375052863,3.86777422853304,3.48535008314968,3.6415898317272,3.29454168938375,3.46399884802849,3.56977442434168,3.80790651418246,3.43822522044415,3.89843144110728,3.38591993753209,3.4211750255926,3.41524544476308,3.44737172516788,3.03591815283154,3.61425212735211,3.03746218921285,2.77349589158344,3.58128078653443,3.93333189849564,4.24606373675927,3.33335828820129,3.12569382094765
yyaJ,3.40530744618095,3.31476418515413,3.04316089667815,2.62750325316314,2.76709750218873,3.17659653348003,3.30788789539254,3.47976297899551,3.07219578231193,3.34618105654132,2.89406560251508,2.80036111805612,2.36464102670963,2.62505691033267,2.87757895048324,2.84692680933239,3.79907199048499,3.07061216726325,2.71200524212089,2.76441379867945,2.69712057147291,2.86053283742186,2.61856873850593,3.36809765024791,4.0458422484638,3.94784683634649,3.46504761987189,3.28505570236786,3.73058241760576,4.11933749300619
